asin,brand,name,description,features,stars,rating_count,review_title,review_rating,review_location_and_date,verified,review_body,images
B00CXXTIVE,Pacific Herbs,Natural Menopause Relief Herb Pack,"Guaranteed to decrease the intensity of menopausal night sweats, hot flashes within the first week of usage. Within the first month of usage we guarantee noticeable improvements in menopausal symptoms.","Pacific Herbs Menopause Relief Herb Pack contains 100 grams or 3.5 oz of concentrated herbal extract in granules and is based on time-tested Traditional Chinese Medicine formulations that provides natural support for perimenopause and menopause. | Chinese herbal formulas for menopause, dating back to 200 AD, have been studied extensively in the last century & shown effective at managing hot flashes, night sweats, mood swings, dryness, stress & other symptoms related to menopause. | Treating menopause using artificial means, such hormone replacement therapy (HRT), does not address the underlying issues. Our herbs restore hormonal balance naturally, rather than replace hormones, providing noticeable results within 2-4 weeks. | Unlike other herbal & non-herbal remedies for menopause, ours don’t have GMO corn dextrin as filler nor any unnatural chemicals. Our Herb Pack contains only pure, potent herbs grown in nature and can be used safely long term without side effects. | Pacific Herbs does NOT buy products that have been fumigated with sulfur dioxide (SD); we have stringent policies for raw herb sourcing of all our products, which are tested for potency & purity and traceable by LOT numbers on every package.",3.6 out of 5 stars,30 global ratings,This product just plain works!,5.0,"Reviewed in the United States on October 3, 2019",True,"There's no need to suffer through menopause!  I've used this Menopause Relief Herb Pac for years and it just plain works!  No hot flashes; no night sweats and no mood swings.  I have recommended it to other women for years, and every person has come back to me to thank me.",https://m.media-amazon.com/images/I/41dSqe9UIYL._AC_.jpg | https://m.media-amazon.com/images/I/51T9jgyWFiL._AC_.jpg | https://m.media-amazon.com/images/I/51W91wq71zL._AC_.jpg | https://m.media-amazon.com/images/I/61EnQ-uGgtL._AC_.jpg | https://m.media-amazon.com/images/I/61UX6bVk+pL._AC_.jpg | https://m.media-amazon.com/images/I/61wy10MU2gL._AC_.jpg
B00CXXTIVE,Pacific Herbs,Natural Menopause Relief Herb Pack,"Guaranteed to decrease the intensity of menopausal night sweats, hot flashes within the first week of usage. Within the first month of usage we guarantee noticeable improvements in menopausal symptoms.","Pacific Herbs Menopause Relief Herb Pack contains 100 grams or 3.5 oz of concentrated herbal extract in granules and is based on time-tested Traditional Chinese Medicine formulations that provides natural support for perimenopause and menopause. | Chinese herbal formulas for menopause, dating back to 200 AD, have been studied extensively in the last century & shown effective at managing hot flashes, night sweats, mood swings, dryness, stress & other symptoms related to menopause. | Treating menopause using artificial means, such hormone replacement therapy (HRT), does not address the underlying issues. Our herbs restore hormonal balance naturally, rather than replace hormones, providing noticeable results within 2-4 weeks. | Unlike other herbal & non-herbal remedies for menopause, ours don’t have GMO corn dextrin as filler nor any unnatural chemicals. Our Herb Pack contains only pure, potent herbs grown in nature and can be used safely long term without side effects. | Pacific Herbs does NOT buy products that have been fumigated with sulfur dioxide (SD); we have stringent policies for raw herb sourcing of all our products, which are tested for potency & purity and traceable by LOT numbers on every package.",3.6 out of 5 stars,30 global ratings,"Works better than western herbs for me, but it is so dang expensive",3.0,"Reviewed in the United States on January 27, 2017",True,"This product helps with symptoms. Not 100%, but it does make a big difference.  Much, much better than other supplements I have tried e.g. black cohosh, chasteberry, dong quai, sage, soy, bioidentical progsterone. These other supplements have absolutely no positive effect. I checked with my naturopath, and she says that this Pacific Herbs formula works very well for some women. On the other hand, black cohosh, chasteberry, etc. work incredibly well for other women. You have to experiment to see which one works for you.This price is relatively high, I've seen it for between 40-55 dollars here on amazon.  I try to buy multiple bags when the price goes down. You have to order quickly since the price can easily go back up an hour afterward.I find this does not taste great as a tea, so I use the scoop to pour a dry dose in my mouth and then swallow with water. I don't mind the taste at all when the product is not in tea form, it has an herbal licorice flavor.-----------------Update: I was still taking this,, but I am so tired of paying 60 dollars a month ($720 per year). This is just too much to keep paying. I have recently started doing a castor oil pack every night and that takes away my hot flashes. Buying the castor oil is much cheaper than this formula, and it has additional benefits.",https://m.media-amazon.com/images/I/41dSqe9UIYL._AC_.jpg | https://m.media-amazon.com/images/I/51T9jgyWFiL._AC_.jpg | https://m.media-amazon.com/images/I/51W91wq71zL._AC_.jpg | https://m.media-amazon.com/images/I/61EnQ-uGgtL._AC_.jpg | https://m.media-amazon.com/images/I/61UX6bVk+pL._AC_.jpg | https://m.media-amazon.com/images/I/61wy10MU2gL._AC_.jpg
B00CXXTIVE,Pacific Herbs,Natural Menopause Relief Herb Pack,"Guaranteed to decrease the intensity of menopausal night sweats, hot flashes within the first week of usage. Within the first month of usage we guarantee noticeable improvements in menopausal symptoms.","Pacific Herbs Menopause Relief Herb Pack contains 100 grams or 3.5 oz of concentrated herbal extract in granules and is based on time-tested Traditional Chinese Medicine formulations that provides natural support for perimenopause and menopause. | Chinese herbal formulas for menopause, dating back to 200 AD, have been studied extensively in the last century & shown effective at managing hot flashes, night sweats, mood swings, dryness, stress & other symptoms related to menopause. | Treating menopause using artificial means, such hormone replacement therapy (HRT), does not address the underlying issues. Our herbs restore hormonal balance naturally, rather than replace hormones, providing noticeable results within 2-4 weeks. | Unlike other herbal & non-herbal remedies for menopause, ours don’t have GMO corn dextrin as filler nor any unnatural chemicals. Our Herb Pack contains only pure, potent herbs grown in nature and can be used safely long term without side effects. | Pacific Herbs does NOT buy products that have been fumigated with sulfur dioxide (SD); we have stringent policies for raw herb sourcing of all our products, which are tested for potency & purity and traceable by LOT numbers on every package.",3.6 out of 5 stars,30 global ratings,Slowly but surely,3.0,"Reviewed in the United States on July 7, 2015",True,"So far so good,  the herbs seem to be lessening the flashes about 50%.  I am on my second month of making a purchase.  Hopefully, by the end of the month,  the flashes will continue to lessen and eventually disappear. You have to be willing to make the monthly $52.00 purchase.  I think it is worth it.",https://m.media-amazon.com/images/I/41dSqe9UIYL._AC_.jpg | https://m.media-amazon.com/images/I/51T9jgyWFiL._AC_.jpg | https://m.media-amazon.com/images/I/51W91wq71zL._AC_.jpg | https://m.media-amazon.com/images/I/61EnQ-uGgtL._AC_.jpg | https://m.media-amazon.com/images/I/61UX6bVk+pL._AC_.jpg | https://m.media-amazon.com/images/I/61wy10MU2gL._AC_.jpg
B00CXXTIVE,Pacific Herbs,Natural Menopause Relief Herb Pack,"Guaranteed to decrease the intensity of menopausal night sweats, hot flashes within the first week of usage. Within the first month of usage we guarantee noticeable improvements in menopausal symptoms.","Pacific Herbs Menopause Relief Herb Pack contains 100 grams or 3.5 oz of concentrated herbal extract in granules and is based on time-tested Traditional Chinese Medicine formulations that provides natural support for perimenopause and menopause. | Chinese herbal formulas for menopause, dating back to 200 AD, have been studied extensively in the last century & shown effective at managing hot flashes, night sweats, mood swings, dryness, stress & other symptoms related to menopause. | Treating menopause using artificial means, such hormone replacement therapy (HRT), does not address the underlying issues. Our herbs restore hormonal balance naturally, rather than replace hormones, providing noticeable results within 2-4 weeks. | Unlike other herbal & non-herbal remedies for menopause, ours don’t have GMO corn dextrin as filler nor any unnatural chemicals. Our Herb Pack contains only pure, potent herbs grown in nature and can be used safely long term without side effects. | Pacific Herbs does NOT buy products that have been fumigated with sulfur dioxide (SD); we have stringent policies for raw herb sourcing of all our products, which are tested for potency & purity and traceable by LOT numbers on every package.",3.6 out of 5 stars,30 global ratings,It works!!,5.0,"Reviewed in the United States on October 1, 2020",True,"This has been a life saver for my hot flashes and night sweats I love the way it tastes, I usually use honey with my teas but this one doesn't need it. Taste is great.",https://m.media-amazon.com/images/I/41dSqe9UIYL._AC_.jpg | https://m.media-amazon.com/images/I/51T9jgyWFiL._AC_.jpg | https://m.media-amazon.com/images/I/51W91wq71zL._AC_.jpg | https://m.media-amazon.com/images/I/61EnQ-uGgtL._AC_.jpg | https://m.media-amazon.com/images/I/61UX6bVk+pL._AC_.jpg | https://m.media-amazon.com/images/I/61wy10MU2gL._AC_.jpg
B00CXXTIVE,Pacific Herbs,Natural Menopause Relief Herb Pack,"Guaranteed to decrease the intensity of menopausal night sweats, hot flashes within the first week of usage. Within the first month of usage we guarantee noticeable improvements in menopausal symptoms.","Pacific Herbs Menopause Relief Herb Pack contains 100 grams or 3.5 oz of concentrated herbal extract in granules and is based on time-tested Traditional Chinese Medicine formulations that provides natural support for perimenopause and menopause. | Chinese herbal formulas for menopause, dating back to 200 AD, have been studied extensively in the last century & shown effective at managing hot flashes, night sweats, mood swings, dryness, stress & other symptoms related to menopause. | Treating menopause using artificial means, such hormone replacement therapy (HRT), does not address the underlying issues. Our herbs restore hormonal balance naturally, rather than replace hormones, providing noticeable results within 2-4 weeks. | Unlike other herbal & non-herbal remedies for menopause, ours don’t have GMO corn dextrin as filler nor any unnatural chemicals. Our Herb Pack contains only pure, potent herbs grown in nature and can be used safely long term without side effects. | Pacific Herbs does NOT buy products that have been fumigated with sulfur dioxide (SD); we have stringent policies for raw herb sourcing of all our products, which are tested for potency & purity and traceable by LOT numbers on every package.",3.6 out of 5 stars,30 global ratings,"january 2016 - update:  worked initially as noted but after a few weeks back to night sweats, heat flashes.  Placebo effect?",5.0,"Reviewed in the United States on November 11, 2015",True,"Never wrote a review before but I am prompted to today because this stuff really works.  I am literally only on Day 4 of using this product and my excruciating night sweats have abated by reasonably more than 65%.  Before I started using this, my night sweats were waking me up every 2 hours all night long.  I'm down to 2 times since I started taking this.  I take it twice a day mixed with plain yogurt and honey since I heard the taste of this in a tea would not be pleasant.  The taste is accented mostly by the Stevia sweetener and the honey I use masks that.",https://m.media-amazon.com/images/I/41dSqe9UIYL._AC_.jpg | https://m.media-amazon.com/images/I/51T9jgyWFiL._AC_.jpg | https://m.media-amazon.com/images/I/51W91wq71zL._AC_.jpg | https://m.media-amazon.com/images/I/61EnQ-uGgtL._AC_.jpg | https://m.media-amazon.com/images/I/61UX6bVk+pL._AC_.jpg | https://m.media-amazon.com/images/I/61wy10MU2gL._AC_.jpg
B00CXXTIVE,Pacific Herbs,Natural Menopause Relief Herb Pack,"Guaranteed to decrease the intensity of menopausal night sweats, hot flashes within the first week of usage. Within the first month of usage we guarantee noticeable improvements in menopausal symptoms.","Pacific Herbs Menopause Relief Herb Pack contains 100 grams or 3.5 oz of concentrated herbal extract in granules and is based on time-tested Traditional Chinese Medicine formulations that provides natural support for perimenopause and menopause. | Chinese herbal formulas for menopause, dating back to 200 AD, have been studied extensively in the last century & shown effective at managing hot flashes, night sweats, mood swings, dryness, stress & other symptoms related to menopause. | Treating menopause using artificial means, such hormone replacement therapy (HRT), does not address the underlying issues. Our herbs restore hormonal balance naturally, rather than replace hormones, providing noticeable results within 2-4 weeks. | Unlike other herbal & non-herbal remedies for menopause, ours don’t have GMO corn dextrin as filler nor any unnatural chemicals. Our Herb Pack contains only pure, potent herbs grown in nature and can be used safely long term without side effects. | Pacific Herbs does NOT buy products that have been fumigated with sulfur dioxide (SD); we have stringent policies for raw herb sourcing of all our products, which are tested for potency & purity and traceable by LOT numbers on every package.",3.6 out of 5 stars,30 global ratings,Disappointed - didn't work for me and one pack isn't really one months worth,2.0,"Reviewed in the United States on August 6, 2018",True,"I have 10-20 hot flushes/night sweats per day so I needed to take the maximum dose. Which meant that one package was not enough for a month. After taking two packages worth (about 5 weeks worth aka more than $100), I didn't notice any benefits at all. Perhaps this works better for people with more mild symptoms. So, unfortunately I am still on the hunt for something to help me.",https://m.media-amazon.com/images/I/41dSqe9UIYL._AC_.jpg | https://m.media-amazon.com/images/I/51T9jgyWFiL._AC_.jpg | https://m.media-amazon.com/images/I/51W91wq71zL._AC_.jpg | https://m.media-amazon.com/images/I/61EnQ-uGgtL._AC_.jpg | https://m.media-amazon.com/images/I/61UX6bVk+pL._AC_.jpg | https://m.media-amazon.com/images/I/61wy10MU2gL._AC_.jpg
B00CXXTIVE,Pacific Herbs,Natural Menopause Relief Herb Pack,"Guaranteed to decrease the intensity of menopausal night sweats, hot flashes within the first week of usage. Within the first month of usage we guarantee noticeable improvements in menopausal symptoms.","Pacific Herbs Menopause Relief Herb Pack contains 100 grams or 3.5 oz of concentrated herbal extract in granules and is based on time-tested Traditional Chinese Medicine formulations that provides natural support for perimenopause and menopause. | Chinese herbal formulas for menopause, dating back to 200 AD, have been studied extensively in the last century & shown effective at managing hot flashes, night sweats, mood swings, dryness, stress & other symptoms related to menopause. | Treating menopause using artificial means, such hormone replacement therapy (HRT), does not address the underlying issues. Our herbs restore hormonal balance naturally, rather than replace hormones, providing noticeable results within 2-4 weeks. | Unlike other herbal & non-herbal remedies for menopause, ours don’t have GMO corn dextrin as filler nor any unnatural chemicals. Our Herb Pack contains only pure, potent herbs grown in nature and can be used safely long term without side effects. | Pacific Herbs does NOT buy products that have been fumigated with sulfur dioxide (SD); we have stringent policies for raw herb sourcing of all our products, which are tested for potency & purity and traceable by LOT numbers on every package.",3.6 out of 5 stars,30 global ratings,Don't bother - waste of money!,1.0,"Reviewed in the United States on March 30, 2021",True,"Didn't do anything at all waste, of money.",https://m.media-amazon.com/images/I/41dSqe9UIYL._AC_.jpg | https://m.media-amazon.com/images/I/51T9jgyWFiL._AC_.jpg | https://m.media-amazon.com/images/I/51W91wq71zL._AC_.jpg | https://m.media-amazon.com/images/I/61EnQ-uGgtL._AC_.jpg | https://m.media-amazon.com/images/I/61UX6bVk+pL._AC_.jpg | https://m.media-amazon.com/images/I/61wy10MU2gL._AC_.jpg
B00CXXTIVE,Pacific Herbs,Natural Menopause Relief Herb Pack,"Guaranteed to decrease the intensity of menopausal night sweats, hot flashes within the first week of usage. Within the first month of usage we guarantee noticeable improvements in menopausal symptoms.","Pacific Herbs Menopause Relief Herb Pack contains 100 grams or 3.5 oz of concentrated herbal extract in granules and is based on time-tested Traditional Chinese Medicine formulations that provides natural support for perimenopause and menopause. | Chinese herbal formulas for menopause, dating back to 200 AD, have been studied extensively in the last century & shown effective at managing hot flashes, night sweats, mood swings, dryness, stress & other symptoms related to menopause. | Treating menopause using artificial means, such hormone replacement therapy (HRT), does not address the underlying issues. Our herbs restore hormonal balance naturally, rather than replace hormones, providing noticeable results within 2-4 weeks. | Unlike other herbal & non-herbal remedies for menopause, ours don’t have GMO corn dextrin as filler nor any unnatural chemicals. Our Herb Pack contains only pure, potent herbs grown in nature and can be used safely long term without side effects. | Pacific Herbs does NOT buy products that have been fumigated with sulfur dioxide (SD); we have stringent policies for raw herb sourcing of all our products, which are tested for potency & purity and traceable by LOT numbers on every package.",3.6 out of 5 stars,30 global ratings,Missing spoon,3.0,"Reviewed in the United States on May 2, 2023",True,"Just started the herbs, so cannot comment on how effective they are. Packaging was a little sketchy and the “enclosed spoon “ was missing!Taste is OK.",https://m.media-amazon.com/images/I/41dSqe9UIYL._AC_.jpg | https://m.media-amazon.com/images/I/51T9jgyWFiL._AC_.jpg | https://m.media-amazon.com/images/I/51W91wq71zL._AC_.jpg | https://m.media-amazon.com/images/I/61EnQ-uGgtL._AC_.jpg | https://m.media-amazon.com/images/I/61UX6bVk+pL._AC_.jpg | https://m.media-amazon.com/images/I/61wy10MU2gL._AC_.jpg
B00CXXTIVE,Pacific Herbs,Natural Menopause Relief Herb Pack,"Guaranteed to decrease the intensity of menopausal night sweats, hot flashes within the first week of usage. Within the first month of usage we guarantee noticeable improvements in menopausal symptoms.","Pacific Herbs Menopause Relief Herb Pack contains 100 grams or 3.5 oz of concentrated herbal extract in granules and is based on time-tested Traditional Chinese Medicine formulations that provides natural support for perimenopause and menopause. | Chinese herbal formulas for menopause, dating back to 200 AD, have been studied extensively in the last century & shown effective at managing hot flashes, night sweats, mood swings, dryness, stress & other symptoms related to menopause. | Treating menopause using artificial means, such hormone replacement therapy (HRT), does not address the underlying issues. Our herbs restore hormonal balance naturally, rather than replace hormones, providing noticeable results within 2-4 weeks. | Unlike other herbal & non-herbal remedies for menopause, ours don’t have GMO corn dextrin as filler nor any unnatural chemicals. Our Herb Pack contains only pure, potent herbs grown in nature and can be used safely long term without side effects. | Pacific Herbs does NOT buy products that have been fumigated with sulfur dioxide (SD); we have stringent policies for raw herb sourcing of all our products, which are tested for potency & purity and traceable by LOT numbers on every package.",3.6 out of 5 stars,30 global ratings,Consistency is Lacking and no spoon with second order,3.0,"Reviewed in the United States on May 10, 2023",True,This works ok.  I do not get as many night sweats.  I mix with green tea in AM and Sleep tea in PM.  The second batch I have is much more course and did not come with a spoon which is inconvenient as I keep some in my work bag for my AM tea and need a measurer.,https://m.media-amazon.com/images/I/41dSqe9UIYL._AC_.jpg | https://m.media-amazon.com/images/I/51T9jgyWFiL._AC_.jpg | https://m.media-amazon.com/images/I/51W91wq71zL._AC_.jpg | https://m.media-amazon.com/images/I/61EnQ-uGgtL._AC_.jpg | https://m.media-amazon.com/images/I/61UX6bVk+pL._AC_.jpg | https://m.media-amazon.com/images/I/61wy10MU2gL._AC_.jpg
B00CXXTIVE,Pacific Herbs,Natural Menopause Relief Herb Pack,"Guaranteed to decrease the intensity of menopausal night sweats, hot flashes within the first week of usage. Within the first month of usage we guarantee noticeable improvements in menopausal symptoms.","Pacific Herbs Menopause Relief Herb Pack contains 100 grams or 3.5 oz of concentrated herbal extract in granules and is based on time-tested Traditional Chinese Medicine formulations that provides natural support for perimenopause and menopause. | Chinese herbal formulas for menopause, dating back to 200 AD, have been studied extensively in the last century & shown effective at managing hot flashes, night sweats, mood swings, dryness, stress & other symptoms related to menopause. | Treating menopause using artificial means, such hormone replacement therapy (HRT), does not address the underlying issues. Our herbs restore hormonal balance naturally, rather than replace hormones, providing noticeable results within 2-4 weeks. | Unlike other herbal & non-herbal remedies for menopause, ours don’t have GMO corn dextrin as filler nor any unnatural chemicals. Our Herb Pack contains only pure, potent herbs grown in nature and can be used safely long term without side effects. | Pacific Herbs does NOT buy products that have been fumigated with sulfur dioxide (SD); we have stringent policies for raw herb sourcing of all our products, which are tested for potency & purity and traceable by LOT numbers on every package.",3.6 out of 5 stars,30 global ratings,Good product,3.0,"Reviewed in the United States on February 22, 2014",True,"I didn't buy this for menopause treatment, but as a natural mood leveler. It doesn't taste very good, but I can get it down if the water/tea is very hot, i feel it is very effective as a natural mood leveler when taken daily (I take it once a day). I also take it in conjunction with fish oil and vitamin B complex.**** updated April 2015. I still use this product occasionally and believe it works, but have to lower my review from 5 to 3 stars because of the crazy increase in price. In December 2013 (16 months ago), this cost $35 with Prime shipping on Amazon. Now it's $55!? That is much too large an increase for just over a year. I'm keeping my eyes open for more reasonable alternatives.",https://m.media-amazon.com/images/I/41dSqe9UIYL._AC_.jpg | https://m.media-amazon.com/images/I/51T9jgyWFiL._AC_.jpg | https://m.media-amazon.com/images/I/51W91wq71zL._AC_.jpg | https://m.media-amazon.com/images/I/61EnQ-uGgtL._AC_.jpg | https://m.media-amazon.com/images/I/61UX6bVk+pL._AC_.jpg | https://m.media-amazon.com/images/I/61wy10MU2gL._AC_.jpg
