asin,name,brand,description,features,stars,rating_count,info_table,ingredients
B00K6L4UV8,Organic California Poppy Herb C/S,Visit the Starwest Botanicals Store,Organic California Poppy Herb C/S,Botanical Name:Eschscholzia californica,4.5 out of 5 stars,86 global ratings,,
B0BRQT7576,"Pure California Poppy Tea - Natural California Poppy for Relaxation, Premium California Poppy Extract 100% Natural Herbal Tea Stress Relief & Calming Nervous System - 2 Gram Teabags - 32 Vegan Teabags",Visit the Ethnospot Store,,"Premium California Poppy Herb: Our California Poppy tea is crafted from high-quality California Poppy herb, carefully sourced and processed to maintain its natural purity. Each teabag is filled with pure poppy extract, ensuring a genuine, herbal tea experience without any fillers or additives for your enjoyment. | Versatile Use: Whether you need to unwind after a long day or simply enjoy a soothing tea break, our California Poppy tea is the perfect companion. Its gentle formula is suitable for regular enjoyment, offering a calming and natural way to find tranquility. Perfect for any lifestyle, our tea provides a relaxing experience in every cup. | Natural and Vegan: Made from 100% natural California Poppy, our tea contains no artificial ingredients or preservatives. Each teabag is vegan-friendly, providing a wholesome, plant-based beverage that fits perfectly into a healthy, natural lifestyle. Enjoy the pure essence of California Poppy with confidence and ease. | Convenient and Easy to Use: Our pre-portioned California Poppy teabags are designed for convenience, making it easy to brew a quick and satisfying cup of tea. Whether at home, at work, or on the go, our teabags offer a simple way to incorporate the calming benefits of poppy extract into your daily routine, providing a relaxing break whenever you need it. | Rich Tradition and Quality: California Poppy has a rich history of use, celebrated for its natural properties. Our tea honors this tradition by offering a premium product that combines modern convenience with time-honored practices. Trust in the quality and purity of our poppy herb tea, perfect for any time of day and for anyone seeking a natural, relaxing tea experience.",3.8 out of 5 stars,54 global ratings,,
B09RWBLB5T,Nelson's Tea - California Poppy - Cut & Sifted - Loose Leaf - Herbal Tea - 2oz,Visit the Nelson's Tea Store,,,4.4 out of 5 stars,89 global ratings,,
B008668JL2,Bio Nutrition California Poppy Herbal Supplement 60 Vegetarian Capsules | Natural Relaxation & Stress Relief | Supports Calm Sleep & Mood,Brand: Bio Nutrition,Bio Nutrition California Poppy has been used as a natural remedy to promote relaxation.,Supports stress relief,4.1 out of 5 stars,358 global ratings,"California Poppy Seed 500 mg **,Additional ingredients: vegetable stearate, vegetable cellulose (capsule) and silica.",
B07PTBPL7W,California Poppy Tea Herb Organic 4 Ounce,Brand: Herbs Plus,"This listing is for 1 - 4 ounce package of Organic California Poppy Herb. California Poppy Herb, or Eschscholzia californica, consists of the parts of the plant that grow above the ground, i.e., the leaves, stems and petals. These bulk herbs (which are really leaves and petals) are then dried and can be used as an infusion (as in tea) or an herbal tincture. A perennial native to the interior valleys of southern Oregon and California and ranging into the deserts of Nevada and Arizona, bulk California Poppy Herb has been used for several thousands of years by the Yokut and Pima Indians for its mildly sedative properties. Warning: Not to be used during pregnancy.",,4.3 out of 5 stars,27 global ratings,,
B0DD5DTJH2,Cramp Relief Herbal Tea | Menustral Regulation| Post Partum| Red Raspberry Leaf| California Poppy| Motherwort| Nettle| SUSKOMEGA (4 oz container),Visit the Handmade Store,"Cramp Relief Herbal Tea is made with organic ingredients. Discover the comforting embrase of this blend of herbs created to to help ease effects of menstrual cramps, PMS, post partum, menopause. Relax and regulate heart rythem to sync with your relaxed mood. Size is by container. Order 16 oz and you will get a 16 oz container size packed full! Made with Red Raspberry Leaf, Stinging Nettle Leaf and Bark, Motherwort, Peppermint, Oats, Chaste Berries, California Poppy. Hormone balance; Digestive comfort; Stress reduction; These statements have not been evaluated by the FDA.","Herbal Tea, use Hot or Cold Easy to use: Steep 1 tsp in hot or cold liquid for 5-10 minutes. Enjoy with honey. | Postpartum anxiety, depression, pain | Menstrual regulation | Organic Herbs Red Raspberry, Nettle, Oats, Motherwort, California Poppy, Peppermint, Chaste Berries",,,,
B007IW25FQ,"Traditional Medicinals Organic Nighty Night Extra Tea With Valerian Root for Relaxation, 16 Tea Bags (Pack of 1)",Visit the Traditional Medicinals Store,Traditional Medicinals Tea,"Herbal Power: Promotes a good night’s sleep with the extra power of valerian root | Taste: Earthy, minty and satisfyingly herbal | Formula: To create our strongest sleep formula, we blended valerian with complementary herbs like passionflower, lemon balm and peppermint to mellow you out and help you sleep easy. | USDA Certified Organic, Non-GMO Verified, Kosher, Caffeine Free, Compostable Tea Bags, Herbalist-formulated | Sustainability: First solar-powered and TRUE Zero Waste certified tea factory in US. As a Certified B-corp, we prioritize and measure our environmental, social and economic impact. | 1 carton containing 16 individually wrapped tea bags",4.4 out of 5 stars,"14,041 global ratings",,
B0CL46J246,Dream Herbal Tea | Sacred Blossom Farm | 1.9 oz. Loose Leaf Herbal Tea | Promotes Sleep* | Minimally Processed Wisconsin-Grown Herbal Tea & Medicinal Herbs | Caffeine Free | Handmade in USA,Brand: Sacred Blossom Farm,,"Single Source - 95% of the ingredients in Sacred Blossom Farm teas are grown on our small Wisconsin herb farm. All drying, processing, blending, and packaging is done on-site to ensure the freshest, highest quality tea possible. | All Natural - Sacred Blossom Farm uses only minimally-processed herbal ingredients. No fillers, flavorings, sweeteners, or preservatives. | Sustainably Farmed - Sacred Blossom Farm is committed to using only regenerative farming practices. No pesticides or herbicides are used. Watch our video below for more information! | Whole Leaf Tea - All Sacred Blossom Farm teas and bulk herbs are hand-processed and sifted to ensure that only the best parts of each plant are included. Our teas are kept whole leaf to keep the flavor, freshness, beauty, and potency intact for you! | As seen on the PBS show ""Wisconsin Foodie""",4.6 out of 5 stars,9 global ratings,,
B0013I3N2A,Eclectic Herb Organic California Poppy Extract - 2 oz - Highly Concentrated 1:2 Fresh Herb Strength - Promotes Relaxation and Soothes Nervous Tension - Pure Herbal Extract,Visit the ECLECTIC INSTITUTE Store,,"✅ Certified organic California Poppy harvested at peak potency and organic grain-free alcohol. | ✅ Supports relaxation and soothes nervous tension.* | ✅ Sustainably grown, small batch freeze-dried, and lab tested for optimum potency. | ✅ No artificial colors, flavors, sugar, excipients, fillers, stearates, or binders. | ✅ At Eclectic Institute, everything starts with fresh, whole herbs. We freeze-dry our ingredients to preserve, in the gentlest possible way, all nutrients, vitamins, and phytochemicals in the same balance as found in nature.",3.2 out of 5 stars,42 global ratings,"Organic fresh California poppy (Eschscholzia california) whole plant, organic grain-free alcohol, filtered water. Fresh herb strength 1:2 (500 mg / ml)",
B003RAL8DS,California Dieter Drink Extra Strength Tea | 1.76 ounces | 3 Pack,Brand: E,3 boxes,"3 boxes of California Dieter Tea, Extra Strength | Helps one to keep fit without dieting | No Caffeine | No Chemical additives | Natural Herbal beverage",4.5 out of 5 stars,"1,208 global ratings",,
