asin,brand,name,description,features,stars,rating_count,review_title,review_rating,review_location_and_date,verified,review_body,images
B008668JL2,"Bio Nutrition California Poppy Vegi-Caps, 60 Count","Bio Nutrition California Poppy Vegi-Caps, 60 Count",Bio Nutrition California Poppy has been used as a natural remedy to promote relaxation.,Promotes relaxation | Restful sleep | Helps with pain and discomfort,4.1 out of 5 stars,356 global ratings,It works!,5.0,"Reviewed in the United States on July 5, 2024",True,I take one capsule an hour before I go to bed and I sleep like a baby! Wake up feeling rested and no residual after effects! A natural way to fall asleep…what could be better?!,https://m.media-amazon.com/images/I/51rEf3c9R5L._AC_.jpg | https://m.media-amazon.com/images/I/51krRbhCTBL._AC_.jpg | https://m.media-amazon.com/images/I/51jlunhcw8L._AC_.jpg | https://m.media-amazon.com/images/I/51vPLRLRarL._AC_.jpg | https://m.media-amazon.com/images/I/51xml45+1eL._AC_.jpg
B008668JL2,"Bio Nutrition California Poppy Vegi-Caps, 60 Count","Bio Nutrition California Poppy Vegi-Caps, 60 Count",Bio Nutrition California Poppy has been used as a natural remedy to promote relaxation.,Promotes relaxation | Restful sleep | Helps with pain and discomfort,4.1 out of 5 stars,356 global ratings,Pain management Godsend,5.0,"Reviewed in the United States on March 29, 2023",True,"These pills are a godsend they are narcotic-free and really help to manage my pain. The other day I was cooking up a storm and had been in the kitchen for hours, my feet and back were hurting. I took a couple of these babies and before I knew it the foot pain was gone, I felt good enough to go for an hour and a half drive and visit with my daughter (she was up late settling into her own place). Mind you I didn't get back home till 2 o'clock in the morning and I felt pretty good pain wise. That was my first time taking this supplement, now I usually take 2 or 3 at a time- once or twice a day- depending on how bad I feel, I have been diagnosed with rheumatoid arthritis. I saw that the Medical Medium has a California poppy seed shock therapy in his new Brain Protocols book and will give that a try soon.",https://m.media-amazon.com/images/I/51rEf3c9R5L._AC_.jpg | https://m.media-amazon.com/images/I/51krRbhCTBL._AC_.jpg | https://m.media-amazon.com/images/I/51jlunhcw8L._AC_.jpg | https://m.media-amazon.com/images/I/51vPLRLRarL._AC_.jpg | https://m.media-amazon.com/images/I/51xml45+1eL._AC_.jpg
B008668JL2,"Bio Nutrition California Poppy Vegi-Caps, 60 Count","Bio Nutrition California Poppy Vegi-Caps, 60 Count",Bio Nutrition California Poppy has been used as a natural remedy to promote relaxation.,Promotes relaxation | Restful sleep | Helps with pain and discomfort,4.1 out of 5 stars,356 global ratings,Excellent nutrition seeds.,5.0,"Reviewed in the United States on August 15, 2024",True,Highly recommend.,https://m.media-amazon.com/images/I/51rEf3c9R5L._AC_.jpg | https://m.media-amazon.com/images/I/51krRbhCTBL._AC_.jpg | https://m.media-amazon.com/images/I/51jlunhcw8L._AC_.jpg | https://m.media-amazon.com/images/I/51vPLRLRarL._AC_.jpg | https://m.media-amazon.com/images/I/51xml45+1eL._AC_.jpg
B008668JL2,"Bio Nutrition California Poppy Vegi-Caps, 60 Count","Bio Nutrition California Poppy Vegi-Caps, 60 Count",Bio Nutrition California Poppy has been used as a natural remedy to promote relaxation.,Promotes relaxation | Restful sleep | Helps with pain and discomfort,4.1 out of 5 stars,356 global ratings,Wired Yet Fatigued,1.0,"Reviewed in the United States on May 13, 2024",True,"DO NOT BUY THIS!!!! there’s several other 1star reviews that states the same thing. It has caused heart palpitations, severe anxiety, lethargy, all over feeling sick.  I took last one before bed last night, I couldn’t put this together why I was frazzled all night waking up like I ran a marathon severe anxiety…. ITS POISON!!!! ALSO NO REFUNDS… that should tell you all you need to know with no refund policy!  LAWSUIT COMING UP!!!’",https://m.media-amazon.com/images/I/51rEf3c9R5L._AC_.jpg | https://m.media-amazon.com/images/I/51krRbhCTBL._AC_.jpg | https://m.media-amazon.com/images/I/51jlunhcw8L._AC_.jpg | https://m.media-amazon.com/images/I/51vPLRLRarL._AC_.jpg | https://m.media-amazon.com/images/I/51xml45+1eL._AC_.jpg
B008668JL2,"Bio Nutrition California Poppy Vegi-Caps, 60 Count","Bio Nutrition California Poppy Vegi-Caps, 60 Count",Bio Nutrition California Poppy has been used as a natural remedy to promote relaxation.,Promotes relaxation | Restful sleep | Helps with pain and discomfort,4.1 out of 5 stars,356 global ratings,Box damaged,3.0,"Reviewed in the United States on June 27, 2023",True,Product was sealed but box was open and bottle had yellow stain on it,https://m.media-amazon.com/images/I/51rEf3c9R5L._AC_.jpg | https://m.media-amazon.com/images/I/51krRbhCTBL._AC_.jpg | https://m.media-amazon.com/images/I/51jlunhcw8L._AC_.jpg | https://m.media-amazon.com/images/I/51vPLRLRarL._AC_.jpg | https://m.media-amazon.com/images/I/51xml45+1eL._AC_.jpg
B008668JL2,"Bio Nutrition California Poppy Vegi-Caps, 60 Count","Bio Nutrition California Poppy Vegi-Caps, 60 Count",Bio Nutrition California Poppy has been used as a natural remedy to promote relaxation.,Promotes relaxation | Restful sleep | Helps with pain and discomfort,4.1 out of 5 stars,356 global ratings,High quality but a bit costly vs others.,4.0,"Reviewed in the United States on March 21, 2024",True,Pricier than other brands.,https://m.media-amazon.com/images/I/51rEf3c9R5L._AC_.jpg | https://m.media-amazon.com/images/I/51krRbhCTBL._AC_.jpg | https://m.media-amazon.com/images/I/51jlunhcw8L._AC_.jpg | https://m.media-amazon.com/images/I/51vPLRLRarL._AC_.jpg | https://m.media-amazon.com/images/I/51xml45+1eL._AC_.jpg
B008668JL2,"Bio Nutrition California Poppy Vegi-Caps, 60 Count","Bio Nutrition California Poppy Vegi-Caps, 60 Count",Bio Nutrition California Poppy has been used as a natural remedy to promote relaxation.,Promotes relaxation | Restful sleep | Helps with pain and discomfort,4.1 out of 5 stars,356 global ratings,it will put you to sleep,5.0,"Reviewed in the United States on February 26, 2023",True,"I got this and was really tired one weekend work and I figured it out i was taking this in the morning, so take at bedtime definitely. So I guess it does work.",https://m.media-amazon.com/images/I/51rEf3c9R5L._AC_.jpg | https://m.media-amazon.com/images/I/51krRbhCTBL._AC_.jpg | https://m.media-amazon.com/images/I/51jlunhcw8L._AC_.jpg | https://m.media-amazon.com/images/I/51vPLRLRarL._AC_.jpg | https://m.media-amazon.com/images/I/51xml45+1eL._AC_.jpg
B008668JL2,"Bio Nutrition California Poppy Vegi-Caps, 60 Count","Bio Nutrition California Poppy Vegi-Caps, 60 Count",Bio Nutrition California Poppy has been used as a natural remedy to promote relaxation.,Promotes relaxation | Restful sleep | Helps with pain and discomfort,4.1 out of 5 stars,356 global ratings,"So relaxing, puts me in a really good mood",5.0,"Reviewed in the United States on May 27, 2023",True,"take 3 in the evening, it really helps you to relax and wind down",https://m.media-amazon.com/images/I/51rEf3c9R5L._AC_.jpg | https://m.media-amazon.com/images/I/51krRbhCTBL._AC_.jpg | https://m.media-amazon.com/images/I/51jlunhcw8L._AC_.jpg | https://m.media-amazon.com/images/I/51vPLRLRarL._AC_.jpg | https://m.media-amazon.com/images/I/51xml45+1eL._AC_.jpg
B008668JL2,"Bio Nutrition California Poppy Vegi-Caps, 60 Count","Bio Nutrition California Poppy Vegi-Caps, 60 Count",Bio Nutrition California Poppy has been used as a natural remedy to promote relaxation.,Promotes relaxation | Restful sleep | Helps with pain and discomfort,4.1 out of 5 stars,356 global ratings,Sleep Longer,4.0,"Reviewed in the United States on April 4, 2017",True,This supplement did not help my back pain when my back went out so I'm not sure what type of pain relief it is capable of giving. However I do notice that when I take it I sleep for a little longer than normal. Sometimes it makes me feel sleepy and I yawn but other times it just knocks me out and so I only take it a little before bedtime. This is a sedative so use with caution. And consult with your doctor before taking. I got this because it said it would help with early morning awakenings. At least that is what the magazine article said. Sometimes I awaken in the middle of the night but usually can easily get back to sleep. So don't be surprised if you sleep longer than normal.~The Rebecca Review,https://m.media-amazon.com/images/I/51rEf3c9R5L._AC_.jpg | https://m.media-amazon.com/images/I/51krRbhCTBL._AC_.jpg | https://m.media-amazon.com/images/I/51jlunhcw8L._AC_.jpg | https://m.media-amazon.com/images/I/51vPLRLRarL._AC_.jpg | https://m.media-amazon.com/images/I/51xml45+1eL._AC_.jpg
B008668JL2,"Bio Nutrition California Poppy Vegi-Caps, 60 Count","Bio Nutrition California Poppy Vegi-Caps, 60 Count",Bio Nutrition California Poppy has been used as a natural remedy to promote relaxation.,Promotes relaxation | Restful sleep | Helps with pain and discomfort,4.1 out of 5 stars,356 global ratings,Helps you gain deep sleep,4.0,"Reviewed in the United States on January 15, 2022",True,Not a great taste need water to swallow and takes a little while to work,https://m.media-amazon.com/images/I/51rEf3c9R5L._AC_.jpg | https://m.media-amazon.com/images/I/51krRbhCTBL._AC_.jpg | https://m.media-amazon.com/images/I/51jlunhcw8L._AC_.jpg | https://m.media-amazon.com/images/I/51vPLRLRarL._AC_.jpg | https://m.media-amazon.com/images/I/51xml45+1eL._AC_.jpg
