asin,brand,name,description,features,stars,rating_count,review_title,review_rating,review_location_and_date,verified,review_body,images
B00K6L4UV8,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Botanical Name:Eschscholzia californica,4.5 out of 5 stars,83 global ratings,California poppy dried,5.0,"Reviewed in the United States on September 24, 2024",True,These dried California poppies have been a fantastic addition to my home apothecary. It is one of the things I use in my sleep tea as well as menopausal support. I have been very happy with the quality of the dried poppies. I do not find anything else in it other than the poppy. I would definitely purchase this again. It is a great value for the money and has a fantastic fantastic smell.,https://m.media-amazon.com/images/I/41mazSyFMmL._AC_.jpg
B00K6L4UV8,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Botanical Name:Eschscholzia californica,4.5 out of 5 stars,83 global ratings,WORKS!,5.0,"Reviewed in the United States on September 17, 2024",True,"I used this to make a tincture for a sleep aid.  I've tried sooooo many different products, and I am happy to say that it works well!  I will be buying again.",https://m.media-amazon.com/images/I/41mazSyFMmL._AC_.jpg
B00K6L4UV8,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Botanical Name:Eschscholzia californica,4.5 out of 5 stars,83 global ratings,Organic California Poppy Dried Herb,5.0,"Reviewed in the United States on September 3, 2024",True,I love this brand and have purchased it several times and will again.  I have used it and love it. Great price.,https://m.media-amazon.com/images/I/41mazSyFMmL._AC_.jpg
B00K6L4UV8,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Botanical Name:Eschscholzia californica,4.5 out of 5 stars,83 global ratings,Great product,5.0,"Reviewed in the United States on May 11, 2024",True,The freshness is great. Smells and tastes really good. Great color as well. I will be buying this again nice quality. Love this company!,https://m.media-amazon.com/images/I/41mazSyFMmL._AC_.jpg
B00K6L4UV8,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Botanical Name:Eschscholzia californica,4.5 out of 5 stars,83 global ratings,This tea helps me sleep,5.0,"Reviewed in the United States on February 28, 2023",True,"I drink a cup before bedtime, and I sleep really well with this tea",https://m.media-amazon.com/images/I/41mazSyFMmL._AC_.jpg
B00K6L4UV8,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Botanical Name:Eschscholzia californica,4.5 out of 5 stars,83 global ratings,Great for pain,5.0,"Reviewed in the United States on July 7, 2022",True,This herb was great drinking brewed in tea for nerve pain I had after fall. Amazingly God really did give us herbs for healling,https://m.media-amazon.com/images/I/41mazSyFMmL._AC_.jpg
B00K6L4UV8,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Botanical Name:Eschscholzia californica,4.5 out of 5 stars,83 global ratings,Zero help with anxiety,1.0,"Reviewed in the United States on August 28, 2024",True,"Didn’t do anything, really.  Doesn’t taste good enough to drink for its own sake.",https://m.media-amazon.com/images/I/41mazSyFMmL._AC_.jpg
B00K6L4UV8,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Botanical Name:Eschscholzia californica,4.5 out of 5 stars,83 global ratings,Natural sleep with less restless leg,5.0,"Reviewed in the United States on June 21, 2021",True,Sleepover well now,https://m.media-amazon.com/images/I/41mazSyFMmL._AC_.jpg
B00K6L4UV8,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Botanical Name:Eschscholzia californica,4.5 out of 5 stars,83 global ratings,Did not work as claimed,2.0,"Reviewed in the United States on April 22, 2024",True,"The product info said after steeping this product you will fall asleep within 10 min. That is incorrect. And although it tastes good and had a relaxing effect, it did help the sleeplessness. I would return this product if I could!",https://m.media-amazon.com/images/I/41mazSyFMmL._AC_.jpg
B00K6L4UV8,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Organic California Poppy Herb C/S,Botanical Name:Eschscholzia californica,4.5 out of 5 stars,83 global ratings,The flavor is terrible and in my opinion its a little expensive,2.0,"Reviewed in the United States on July 12, 2023",True,"I bought this so I could benefit from the many beneficial properties poppy has, but I just cant get past the taste it sort of overpowers anything else",https://m.media-amazon.com/images/I/41mazSyFMmL._AC_.jpg
B0BRQT7576,"Pure California Poppy Tea - Natural California Poppy for Relaxation, Premium California Poppy Extract 100% Natural Herbal Tea Stress Relief & Calming Nervous System - 2 Gram Teabags - 32 Vegan Teabags","Pure California Poppy Tea - Natural California Poppy for Relaxation, Premium California Poppy Extract 100% Natural Herbal Tea Stress Relief & Calming Nervous System - 2 Gram Teabags - 32 Vegan Teabags",,"Premium California Poppy Herb: Our California Poppy tea is crafted from high-quality California Poppy herb, carefully sourced and processed to maintain its natural purity. Each teabag is filled with pure poppy extract, ensuring a genuine, herbal tea experience without any fillers or additives for your enjoyment. | Versatile Use: Whether you need to unwind after a long day or simply enjoy a soothing tea break, our California Poppy tea is the perfect companion. Its gentle formula is suitable for regular enjoyment, offering a calming and natural way to find tranquility. Perfect for any lifestyle, our tea provides a relaxing experience in every cup. | Natural and Vegan: Made from 100% natural California Poppy, our tea contains no artificial ingredients or preservatives. Each teabag is vegan-friendly, providing a wholesome, plant-based beverage that fits perfectly into a healthy, natural lifestyle. Enjoy the pure essence of California Poppy with confidence and ease. | Convenient and Easy to Use: Our pre-portioned California Poppy teabags are designed for convenience, making it easy to brew a quick and satisfying cup of tea. Whether at home, at work, or on the go, our teabags offer a simple way to incorporate the calming benefits of poppy extract into your daily routine, providing a relaxing break whenever you need it. | Rich Tradition and Quality: California Poppy has a rich history of use, celebrated for its natural properties. Our tea honors this tradition by offering a premium product that combines modern convenience with time-honored practices. Trust in the quality and purity of our poppy herb tea, perfect for any time of day and for anyone seeking a natural, relaxing tea experience.",3.8 out of 5 stars,49 global ratings,Delicious!,5.0,"Reviewed in the United States on May 7, 2024",True,We love this tea! 🍵,https://m.media-amazon.com/images/I/416tZ5A6REL._AC_.jpg | https://m.media-amazon.com/images/I/41HLSTBA4lL._AC_.jpg | https://m.media-amazon.com/images/I/51wqqAFE32L._AC_.jpg | https://m.media-amazon.com/images/I/513rUD7CFeL._AC_.jpg | https://m.media-amazon.com/images/I/51IL0FgG3UL._AC_.jpg | https://m.media-amazon.com/images/I/51G8SfIRuDL._AC_.jpg | https://m.media-amazon.com/images/I/51D8VhWR5qL._AC_.jpg | https://m.media-amazon.com/images/I/51CvL1vleKL._AC_.jpg
B0BRQT7576,"Pure California Poppy Tea - Natural California Poppy for Relaxation, Premium California Poppy Extract 100% Natural Herbal Tea Stress Relief & Calming Nervous System - 2 Gram Teabags - 32 Vegan Teabags","Pure California Poppy Tea - Natural California Poppy for Relaxation, Premium California Poppy Extract 100% Natural Herbal Tea Stress Relief & Calming Nervous System - 2 Gram Teabags - 32 Vegan Teabags",,"Premium California Poppy Herb: Our California Poppy tea is crafted from high-quality California Poppy herb, carefully sourced and processed to maintain its natural purity. Each teabag is filled with pure poppy extract, ensuring a genuine, herbal tea experience without any fillers or additives for your enjoyment. | Versatile Use: Whether you need to unwind after a long day or simply enjoy a soothing tea break, our California Poppy tea is the perfect companion. Its gentle formula is suitable for regular enjoyment, offering a calming and natural way to find tranquility. Perfect for any lifestyle, our tea provides a relaxing experience in every cup. | Natural and Vegan: Made from 100% natural California Poppy, our tea contains no artificial ingredients or preservatives. Each teabag is vegan-friendly, providing a wholesome, plant-based beverage that fits perfectly into a healthy, natural lifestyle. Enjoy the pure essence of California Poppy with confidence and ease. | Convenient and Easy to Use: Our pre-portioned California Poppy teabags are designed for convenience, making it easy to brew a quick and satisfying cup of tea. Whether at home, at work, or on the go, our teabags offer a simple way to incorporate the calming benefits of poppy extract into your daily routine, providing a relaxing break whenever you need it. | Rich Tradition and Quality: California Poppy has a rich history of use, celebrated for its natural properties. Our tea honors this tradition by offering a premium product that combines modern convenience with time-honored practices. Trust in the quality and purity of our poppy herb tea, perfect for any time of day and for anyone seeking a natural, relaxing tea experience.",3.8 out of 5 stars,49 global ratings,Can help,3.0,"Reviewed in the United States on August 7, 2023",True,Help me sleep but not for long,https://m.media-amazon.com/images/I/416tZ5A6REL._AC_.jpg | https://m.media-amazon.com/images/I/41HLSTBA4lL._AC_.jpg | https://m.media-amazon.com/images/I/51wqqAFE32L._AC_.jpg | https://m.media-amazon.com/images/I/513rUD7CFeL._AC_.jpg | https://m.media-amazon.com/images/I/51IL0FgG3UL._AC_.jpg | https://m.media-amazon.com/images/I/51G8SfIRuDL._AC_.jpg | https://m.media-amazon.com/images/I/51D8VhWR5qL._AC_.jpg | https://m.media-amazon.com/images/I/51CvL1vleKL._AC_.jpg
B0BRQT7576,"Pure California Poppy Tea - Natural California Poppy for Relaxation, Premium California Poppy Extract 100% Natural Herbal Tea Stress Relief & Calming Nervous System - 2 Gram Teabags - 32 Vegan Teabags","Pure California Poppy Tea - Natural California Poppy for Relaxation, Premium California Poppy Extract 100% Natural Herbal Tea Stress Relief & Calming Nervous System - 2 Gram Teabags - 32 Vegan Teabags",,"Premium California Poppy Herb: Our California Poppy tea is crafted from high-quality California Poppy herb, carefully sourced and processed to maintain its natural purity. Each teabag is filled with pure poppy extract, ensuring a genuine, herbal tea experience without any fillers or additives for your enjoyment. | Versatile Use: Whether you need to unwind after a long day or simply enjoy a soothing tea break, our California Poppy tea is the perfect companion. Its gentle formula is suitable for regular enjoyment, offering a calming and natural way to find tranquility. Perfect for any lifestyle, our tea provides a relaxing experience in every cup. | Natural and Vegan: Made from 100% natural California Poppy, our tea contains no artificial ingredients or preservatives. Each teabag is vegan-friendly, providing a wholesome, plant-based beverage that fits perfectly into a healthy, natural lifestyle. Enjoy the pure essence of California Poppy with confidence and ease. | Convenient and Easy to Use: Our pre-portioned California Poppy teabags are designed for convenience, making it easy to brew a quick and satisfying cup of tea. Whether at home, at work, or on the go, our teabags offer a simple way to incorporate the calming benefits of poppy extract into your daily routine, providing a relaxing break whenever you need it. | Rich Tradition and Quality: California Poppy has a rich history of use, celebrated for its natural properties. Our tea honors this tradition by offering a premium product that combines modern convenience with time-honored practices. Trust in the quality and purity of our poppy herb tea, perfect for any time of day and for anyone seeking a natural, relaxing tea experience.",3.8 out of 5 stars,49 global ratings,Really works to give me a good night's sleep!  Taste is just okay,5.0,"Reviewed in the United States on September 19, 2023",True,I've tried valerian and passionflower but I never felt they worked.  This works!  The only downside is the flavor.  Adding honey or other sweetener helps.  I'll still keep drinking it because its the only sleep aid tea that has worked for me.,https://m.media-amazon.com/images/I/416tZ5A6REL._AC_.jpg | https://m.media-amazon.com/images/I/41HLSTBA4lL._AC_.jpg | https://m.media-amazon.com/images/I/51wqqAFE32L._AC_.jpg | https://m.media-amazon.com/images/I/513rUD7CFeL._AC_.jpg | https://m.media-amazon.com/images/I/51IL0FgG3UL._AC_.jpg | https://m.media-amazon.com/images/I/51G8SfIRuDL._AC_.jpg | https://m.media-amazon.com/images/I/51D8VhWR5qL._AC_.jpg | https://m.media-amazon.com/images/I/51CvL1vleKL._AC_.jpg
