asin,brand,name,description,features,stars,rating_count,review_title,review_rating,review_location_and_date,verified,review_body,images
B01A2UQRCC,"HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz","HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz",This California Poppy Alcohol-Free Liquid Extract made with Organic California Poppy (Eschscholzia Californica) Dried Above-Ground Parts.,"California Poppy Glycerite contains ONLY natural ingredients! Alcohol Free! Gluten Free! Non-GMO! | High Quality California Poppy NON-Alcohol liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy Glycerin based liquid extract made with love for plants and respect for Nature! | We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water! Really the BEST California Poppy herbal glycerite on market!",4.2 out of 5 stars,421 global ratings,Amazing supplement to calm nerves!,5.0,"Reviewed in the United States on September 24, 2023",True,This supplement is an incredibly strong and effective non-narcotic way to calm nerves and anxiety!  It was a life saver for me when I started to experience chronic anxiety and nerve pain!  It enabled me not to have to get a prescription!  I happen to be a psychotherapist with a specialty in addiction and I have read that this supplement is also effective for people who are trying to come off of drugs like heroin and I would believe it!,https://m.media-amazon.com/images/I/41i6B-kc0gL._AC_.jpg | https://m.media-amazon.com/images/I/51fucBELdlL._AC_.jpg | https://m.media-amazon.com/images/I/51pYS5sDl+L._AC_.jpg | https://m.media-amazon.com/images/I/51XaOZW27yL._AC_.jpg
B01A2UQRCC,"HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz","HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz",This California Poppy Alcohol-Free Liquid Extract made with Organic California Poppy (Eschscholzia Californica) Dried Above-Ground Parts.,"California Poppy Glycerite contains ONLY natural ingredients! Alcohol Free! Gluten Free! Non-GMO! | High Quality California Poppy NON-Alcohol liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy Glycerin based liquid extract made with love for plants and respect for Nature! | We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water! Really the BEST California Poppy herbal glycerite on market!",4.2 out of 5 stars,421 global ratings,Tastes better,5.0,"Reviewed in the United States on August 31, 2024",True,"I still can’t say how effective it is because I’ve only used it twice. What I can say however is that it’s much better tasting than the other products which contain alcohol. Also, the smell is more pleasant",https://m.media-amazon.com/images/I/41i6B-kc0gL._AC_.jpg | https://m.media-amazon.com/images/I/51fucBELdlL._AC_.jpg | https://m.media-amazon.com/images/I/51pYS5sDl+L._AC_.jpg | https://m.media-amazon.com/images/I/51XaOZW27yL._AC_.jpg
B01A2UQRCC,"HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz","HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz",This California Poppy Alcohol-Free Liquid Extract made with Organic California Poppy (Eschscholzia Californica) Dried Above-Ground Parts.,"California Poppy Glycerite contains ONLY natural ingredients! Alcohol Free! Gluten Free! Non-GMO! | High Quality California Poppy NON-Alcohol liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy Glycerin based liquid extract made with love for plants and respect for Nature! | We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water! Really the BEST California Poppy herbal glycerite on market!",4.2 out of 5 stars,421 global ratings,2nd purchase works well,5.0,"Reviewed in the United States on September 16, 2024",True,"easy to take, good tasting and has helped me with the reason I purchased",https://m.media-amazon.com/images/I/41i6B-kc0gL._AC_.jpg | https://m.media-amazon.com/images/I/51fucBELdlL._AC_.jpg | https://m.media-amazon.com/images/I/51pYS5sDl+L._AC_.jpg | https://m.media-amazon.com/images/I/51XaOZW27yL._AC_.jpg
B01A2UQRCC,"HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz","HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz",This California Poppy Alcohol-Free Liquid Extract made with Organic California Poppy (Eschscholzia Californica) Dried Above-Ground Parts.,"California Poppy Glycerite contains ONLY natural ingredients! Alcohol Free! Gluten Free! Non-GMO! | High Quality California Poppy NON-Alcohol liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy Glycerin based liquid extract made with love for plants and respect for Nature! | We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water! Really the BEST California Poppy herbal glycerite on market!",4.2 out of 5 stars,421 global ratings,Two Eyegroppers and Out Like A Light,5.0,"Reviewed in the United States on August 1, 2024",True,This is a great product for putting you back out when you wake in the middle of the night.,https://m.media-amazon.com/images/I/41i6B-kc0gL._AC_.jpg | https://m.media-amazon.com/images/I/51fucBELdlL._AC_.jpg | https://m.media-amazon.com/images/I/51pYS5sDl+L._AC_.jpg | https://m.media-amazon.com/images/I/51XaOZW27yL._AC_.jpg
B01A2UQRCC,"HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz","HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz",This California Poppy Alcohol-Free Liquid Extract made with Organic California Poppy (Eschscholzia Californica) Dried Above-Ground Parts.,"California Poppy Glycerite contains ONLY natural ingredients! Alcohol Free! Gluten Free! Non-GMO! | High Quality California Poppy NON-Alcohol liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy Glycerin based liquid extract made with love for plants and respect for Nature! | We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water! Really the BEST California Poppy herbal glycerite on market!",4.2 out of 5 stars,421 global ratings,It did nothing.,1.0,"Reviewed in the United States on August 12, 2024",True,This product did nothing to help my chronic pain. I would give it a zero.,https://m.media-amazon.com/images/I/41i6B-kc0gL._AC_.jpg | https://m.media-amazon.com/images/I/51fucBELdlL._AC_.jpg | https://m.media-amazon.com/images/I/51pYS5sDl+L._AC_.jpg | https://m.media-amazon.com/images/I/51XaOZW27yL._AC_.jpg
B01A2UQRCC,"HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz","HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz",This California Poppy Alcohol-Free Liquid Extract made with Organic California Poppy (Eschscholzia Californica) Dried Above-Ground Parts.,"California Poppy Glycerite contains ONLY natural ingredients! Alcohol Free! Gluten Free! Non-GMO! | High Quality California Poppy NON-Alcohol liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy Glycerin based liquid extract made with love for plants and respect for Nature! | We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water! Really the BEST California Poppy herbal glycerite on market!",4.2 out of 5 stars,421 global ratings,Good quality,5.0,"Reviewed in the United States on June 29, 2024",True,"I know this product and is excellent for inmune system.  Although it was accidentally broken during disoatch, Amazon’s excellent customer service refunded cost.",https://m.media-amazon.com/images/I/41i6B-kc0gL._AC_.jpg | https://m.media-amazon.com/images/I/51fucBELdlL._AC_.jpg | https://m.media-amazon.com/images/I/51pYS5sDl+L._AC_.jpg | https://m.media-amazon.com/images/I/51XaOZW27yL._AC_.jpg
B01A2UQRCC,"HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz","HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz",This California Poppy Alcohol-Free Liquid Extract made with Organic California Poppy (Eschscholzia Californica) Dried Above-Ground Parts.,"California Poppy Glycerite contains ONLY natural ingredients! Alcohol Free! Gluten Free! Non-GMO! | High Quality California Poppy NON-Alcohol liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy Glycerin based liquid extract made with love for plants and respect for Nature! | We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water! Really the BEST California Poppy herbal glycerite on market!",4.2 out of 5 stars,421 global ratings,Good,5.0,"Reviewed in the United States on July 3, 2024",True,It serves its purpose but do not abuse use it only when you really need it,https://m.media-amazon.com/images/I/41i6B-kc0gL._AC_.jpg | https://m.media-amazon.com/images/I/51fucBELdlL._AC_.jpg | https://m.media-amazon.com/images/I/51pYS5sDl+L._AC_.jpg | https://m.media-amazon.com/images/I/51XaOZW27yL._AC_.jpg
B01A2UQRCC,"HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz","HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz",This California Poppy Alcohol-Free Liquid Extract made with Organic California Poppy (Eschscholzia Californica) Dried Above-Ground Parts.,"California Poppy Glycerite contains ONLY natural ingredients! Alcohol Free! Gluten Free! Non-GMO! | High Quality California Poppy NON-Alcohol liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy Glycerin based liquid extract made with love for plants and respect for Nature! | We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water! Really the BEST California Poppy herbal glycerite on market!",4.2 out of 5 stars,421 global ratings,"Not 4oz its 2oz, misreading. It worked however",2.0,"Reviewed in the United States on August 7, 2024",True,The description is wrong. Its was half the quantity of what it says on the amazon,https://m.media-amazon.com/images/I/41i6B-kc0gL._AC_.jpg | https://m.media-amazon.com/images/I/51fucBELdlL._AC_.jpg | https://m.media-amazon.com/images/I/51pYS5sDl+L._AC_.jpg | https://m.media-amazon.com/images/I/51XaOZW27yL._AC_.jpg
B01A2UQRCC,"HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz","HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz",This California Poppy Alcohol-Free Liquid Extract made with Organic California Poppy (Eschscholzia Californica) Dried Above-Ground Parts.,"California Poppy Glycerite contains ONLY natural ingredients! Alcohol Free! Gluten Free! Non-GMO! | High Quality California Poppy NON-Alcohol liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy Glycerin based liquid extract made with love for plants and respect for Nature! | We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water! Really the BEST California Poppy herbal glycerite on market!",4.2 out of 5 stars,421 global ratings,Not working,2.0,"Reviewed in the United States on December 15, 2023",True,"I have been a Bio Nutrition California Poppy user.  After trying the Hawaii Pharm tincture I can safely say, for me, it's inferior to the Bio Nutrition Brand and it took 10 days to get to be delivered when I was told I would have it in 2.  Sorry I didn't order from Bio Nutrition but they were going to take too long to deliver so I ordered from Hawaii Pharm ... turns out I would have received Bio Nutrition earlier.  I have no idea why the tincture does not work as well as the caps, the ratio of plant matter? ... but I will not be ordering Cali Poppy from Hawaii Pharm again.",https://m.media-amazon.com/images/I/41i6B-kc0gL._AC_.jpg | https://m.media-amazon.com/images/I/51fucBELdlL._AC_.jpg | https://m.media-amazon.com/images/I/51pYS5sDl+L._AC_.jpg | https://m.media-amazon.com/images/I/51XaOZW27yL._AC_.jpg
B01A2UQRCC,"HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz","HawaiiPharm California Poppy Alcohol-Free Liquid Extract, Nervous System Calming and Support. Glycerite 2 fl.oz",This California Poppy Alcohol-Free Liquid Extract made with Organic California Poppy (Eschscholzia Californica) Dried Above-Ground Parts.,"California Poppy Glycerite contains ONLY natural ingredients! Alcohol Free! Gluten Free! Non-GMO! | High Quality California Poppy NON-Alcohol liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! | The highest quality California Poppy Glycerin based liquid extract made with love for plants and respect for Nature! | We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water! Really the BEST California Poppy herbal glycerite on market!",4.2 out of 5 stars,421 global ratings,This is my 3rd bottle,5.0,"Reviewed in the United States on May 19, 2023",True,This stuff is awesome. I originally bought it to replace the anxiety meds I was using and for when I travel on planes too but now I use it when I can’t sleep as well. It works great at calming my system and it doesn’t taste bad.,https://m.media-amazon.com/images/I/41i6B-kc0gL._AC_.jpg | https://m.media-amazon.com/images/I/51fucBELdlL._AC_.jpg | https://m.media-amazon.com/images/I/51pYS5sDl+L._AC_.jpg | https://m.media-amazon.com/images/I/51XaOZW27yL._AC_.jpg
