Name,URL,SKU,Description,Category,Brand,Rating Value,Review Count,Price,Price Currency,Availability,Material,Review,Rate,Reviewer,Review Date
"California poppy (FRESH Organic plant) tincture, Eschscholzia californica",https://www.etsy.com/listing/730184969/california-poppy-fresh-organic-plant,730184969,"Yes, we grow our own Organic California poppy. We have 300 acres of land where we grow our own herbs and pick others in the wild resulting in a truly organic product from nature. We focus on picking product at the optimum time of the moon and right time of season to ensure maximum power and potency. All of our products are processed by hand with care and attention to quality and excellence.  Tinctures are made from fresh organic herbs.  Part used: Fresh flowers, fresh leaves and stem.  Ratio plant to menstruum: 1:2, 50% alcohol.  Dosage: 15-25 drops up in water up to 3x daily",Home & Living < Outdoor & Gardening < Plants < Herbs,Myherbsforyou,4.9,9448,,EUR,https://schema.org/InStock,Organic Alcohol/Distilled Water/California Flower,Potent and effective tincture. Rich color/flavor. I use when feeling anxious/stressed and trying to sleep. I take 3-4 dropperfulls and it works every time.,5,Deborah Revenaugh,2024-09-13
"California poppy (FRESH Organic plant) tincture, Eschscholzia californica",https://www.etsy.com/listing/730184969/california-poppy-fresh-organic-plant,730184969,"Yes, we grow our own Organic California poppy. We have 300 acres of land where we grow our own herbs and pick others in the wild resulting in a truly organic product from nature. We focus on picking product at the optimum time of the moon and right time of season to ensure maximum power and potency. All of our products are processed by hand with care and attention to quality and excellence.  Tinctures are made from fresh organic herbs.  Part used: Fresh flowers, fresh leaves and stem.  Ratio plant to menstruum: 1:2, 50% alcohol.  Dosage: 15-25 drops up in water up to 3x daily",Home & Living < Outdoor & Gardening < Plants < Herbs,Myherbsforyou,4.9,9448,,EUR,https://schema.org/InStock,Organic Alcohol/Distilled Water/California Flower,"I had insomnia before using California Poppy tincture, and now I sleep like a baby without waking up in the wee hours of the morning. This is one of many great tinctures this seller produces.",5,Dee,2024-09-09
"California poppy (FRESH Organic plant) tincture, Eschscholzia californica",https://www.etsy.com/listing/730184969/california-poppy-fresh-organic-plant,730184969,"Yes, we grow our own Organic California poppy. We have 300 acres of land where we grow our own herbs and pick others in the wild resulting in a truly organic product from nature. We focus on picking product at the optimum time of the moon and right time of season to ensure maximum power and potency. All of our products are processed by hand with care and attention to quality and excellence.  Tinctures are made from fresh organic herbs.  Part used: Fresh flowers, fresh leaves and stem.  Ratio plant to menstruum: 1:2, 50% alcohol.  Dosage: 15-25 drops up in water up to 3x daily",Home & Living < Outdoor & Gardening < Plants < Herbs,Myherbsforyou,4.9,9448,,EUR,https://schema.org/InStock,Organic Alcohol/Distilled Water/California Flower,Repeat buyer of this item. Thank you!,5,Thingamabobs Of Random,2024-09-05
"California poppy (FRESH Organic plant) tincture, Eschscholzia californica",https://www.etsy.com/listing/730184969/california-poppy-fresh-organic-plant,730184969,"Yes, we grow our own Organic California poppy. We have 300 acres of land where we grow our own herbs and pick others in the wild resulting in a truly organic product from nature. We focus on picking product at the optimum time of the moon and right time of season to ensure maximum power and potency. All of our products are processed by hand with care and attention to quality and excellence.  Tinctures are made from fresh organic herbs.  Part used: Fresh flowers, fresh leaves and stem.  Ratio plant to menstruum: 1:2, 50% alcohol.  Dosage: 15-25 drops up in water up to 3x daily",Home & Living < Outdoor & Gardening < Plants < Herbs,Myherbsforyou,4.9,9448,,EUR,https://schema.org/InStock,Organic Alcohol/Distilled Water/California Flower,Item arrived very quickly! Excited to start using it.,5,Ella Rose Design Studio,2024-08-19
Pipsissewa Tincture Herb Extract Double Extraction,https://www.etsy.com/listing/1057342743/pipsissewa-tincture-herb-extract-double,1057342743,"- NON GMO! - Gluten Free! - Organic - Choose between alcohol free or alcohol infused - Highest Strength Pipsissewa liquid extract! - Pipsissewa liquid extract contains ONLY natural ingredients! - High Quality Pipsissewa liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! Super concentrated Pipsissewa extract: dried material / solvents ratio is 1:2!  We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water. (Alcohol infused tinctures also contains palm glycerin, if you prefer without any glycerin added please message us or write in the purchase notes &quot;do not add any glycerin&quot; **this option is only available for the alcohol-infused base only**)  All size tinctures arrive sealed for protection against tampering.  Shake well before use. Take one teaspoon, up to 3 times a day or as directed by your practitioner. The best way to use liquid herbal tinctures is to put the suggested amount in a glass of water, tea, or juice and drink the entire contents. Do not drink with any dairy products 30 minutes before and after consumption. Tinctures can also be administered directly into the mouth without the assistance of water however some tinctures are unpalatable which is why most people prefer to dilute them into a beverage.  Safety information: Keep out of reach of children. If you are pregnant, nursing or taking any medications, consult your doctor before use. Discontinue use and consult your practitioner if any adverse reactions occur. Excessive consumption may impair ability to drive a motor vehicle or operate heavy equipment.",Home & Living < Outdoor & Gardening < Plants < Herbs,RedCardinalStore,4.9,2018,,EUR,https://schema.org/InStock,,"Fast service, great price and it&#39;s working!",5,Jill,2023-10-03
Pipsissewa Tincture Herb Extract Double Extraction,https://www.etsy.com/listing/1057342743/pipsissewa-tincture-herb-extract-double,1057342743,"- NON GMO! - Gluten Free! - Organic - Choose between alcohol free or alcohol infused - Highest Strength Pipsissewa liquid extract! - Pipsissewa liquid extract contains ONLY natural ingredients! - High Quality Pipsissewa liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! Super concentrated Pipsissewa extract: dried material / solvents ratio is 1:2!  We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water. (Alcohol infused tinctures also contains palm glycerin, if you prefer without any glycerin added please message us or write in the purchase notes &quot;do not add any glycerin&quot; **this option is only available for the alcohol-infused base only**)  All size tinctures arrive sealed for protection against tampering.  Shake well before use. Take one teaspoon, up to 3 times a day or as directed by your practitioner. The best way to use liquid herbal tinctures is to put the suggested amount in a glass of water, tea, or juice and drink the entire contents. Do not drink with any dairy products 30 minutes before and after consumption. Tinctures can also be administered directly into the mouth without the assistance of water however some tinctures are unpalatable which is why most people prefer to dilute them into a beverage.  Safety information: Keep out of reach of children. If you are pregnant, nursing or taking any medications, consult your doctor before use. Discontinue use and consult your practitioner if any adverse reactions occur. Excessive consumption may impair ability to drive a motor vehicle or operate heavy equipment.",Home & Living < Outdoor & Gardening < Plants < Herbs,RedCardinalStore,4.9,2018,,EUR,https://schema.org/InStock,,I was eager to receive this for my apothecary and it came wrapped with care and love.,5,Rosanne Lindsay,2023-07-29
Pipsissewa Tincture Herb Extract Double Extraction,https://www.etsy.com/listing/1057342743/pipsissewa-tincture-herb-extract-double,1057342743,"- NON GMO! - Gluten Free! - Organic - Choose between alcohol free or alcohol infused - Highest Strength Pipsissewa liquid extract! - Pipsissewa liquid extract contains ONLY natural ingredients! - High Quality Pipsissewa liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! Super concentrated Pipsissewa extract: dried material / solvents ratio is 1:2!  We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water. (Alcohol infused tinctures also contains palm glycerin, if you prefer without any glycerin added please message us or write in the purchase notes &quot;do not add any glycerin&quot; **this option is only available for the alcohol-infused base only**)  All size tinctures arrive sealed for protection against tampering.  Shake well before use. Take one teaspoon, up to 3 times a day or as directed by your practitioner. The best way to use liquid herbal tinctures is to put the suggested amount in a glass of water, tea, or juice and drink the entire contents. Do not drink with any dairy products 30 minutes before and after consumption. Tinctures can also be administered directly into the mouth without the assistance of water however some tinctures are unpalatable which is why most people prefer to dilute them into a beverage.  Safety information: Keep out of reach of children. If you are pregnant, nursing or taking any medications, consult your doctor before use. Discontinue use and consult your practitioner if any adverse reactions occur. Excessive consumption may impair ability to drive a motor vehicle or operate heavy equipment.",Home & Living < Outdoor & Gardening < Plants < Herbs,RedCardinalStore,4.9,2018,,EUR,https://schema.org/InStock,,Stocking up on tinctures to use.,5,Clair M Johnson,2022-10-21
Pipsissewa Tincture Herb Extract Double Extraction,https://www.etsy.com/listing/1057342743/pipsissewa-tincture-herb-extract-double,1057342743,"- NON GMO! - Gluten Free! - Organic - Choose between alcohol free or alcohol infused - Highest Strength Pipsissewa liquid extract! - Pipsissewa liquid extract contains ONLY natural ingredients! - High Quality Pipsissewa liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! Super concentrated Pipsissewa extract: dried material / solvents ratio is 1:2!  We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water. (Alcohol infused tinctures also contains palm glycerin, if you prefer without any glycerin added please message us or write in the purchase notes &quot;do not add any glycerin&quot; **this option is only available for the alcohol-infused base only**)  All size tinctures arrive sealed for protection against tampering.  Shake well before use. Take one teaspoon, up to 3 times a day or as directed by your practitioner. The best way to use liquid herbal tinctures is to put the suggested amount in a glass of water, tea, or juice and drink the entire contents. Do not drink with any dairy products 30 minutes before and after consumption. Tinctures can also be administered directly into the mouth without the assistance of water however some tinctures are unpalatable which is why most people prefer to dilute them into a beverage.  Safety information: Keep out of reach of children. If you are pregnant, nursing or taking any medications, consult your doctor before use. Discontinue use and consult your practitioner if any adverse reactions occur. Excessive consumption may impair ability to drive a motor vehicle or operate heavy equipment.",Home & Living < Outdoor & Gardening < Plants < Herbs,RedCardinalStore,4.9,2018,,EUR,https://schema.org/InStock,,Lovely tincture! Highly recommend it.,5,Kee,2022-07-14
Celandine (Chelidonium Majus) Tincture Herb Extract Double Extraction,https://www.etsy.com/listing/1374110382/celandine-chelidonium-majus-tincture,1374110382,"- NON GMO! - Gluten Free! - Organic - Choose between alcohol free or alcohol infused - Highest Strength Celandine liquid extract! - Celandine liquid extract contains ONLY natural ingredients! - High Quality Celandine liquid extract - we use classic conventional methods of extraction! We meticulously produce our extracts according to precise standards where each herb is extracted according to the distinct characteristic of each plant! Super concentrated Celandine extract: dried material / solvents ratio is 1:2!  We strictly use Only Certified or ethically sourced wild harvested raw material, vegetable palm glycerin and crystal clear artesian purified water. (Alcohol infused tinctures also contains palm glycerin, if you prefer without any glycerin added please message us or write in the purchase notes &quot;do not add any glycerin&quot; **this option is only available for the alcohol-infused base only**)  All size tinctures arrive sealed for protection against tampering.  Shake well before use. Take one teaspoon, up to 3 times a day or as directed by your practitioner. The best way to use liquid herbal tinctures is to put the suggested amount in a glass of water, tea, or juice and drink the entire contents. Do not drink with any dairy products 30 minutes before and after consumption. Tinctures can also be administered directly into the mouth without the assistance of water however some tinctures are unpalatable which is why most people prefer to dilute them into a beverage.",Home & Living < Outdoor & Gardening < Plants < Herbs,RedCardinalStore,4.9,2018,,USD,https://schema.org/InStock,,,5,hopetravelgirl,2023-04-02
Izmir Afghan special galania poppy seeds (open pollenated) f1 and f2s.,https://www.etsy.com/listing/1459799442/izmir-afghan-special-galania-poppy-seeds,1459799442,"If you are looking for pure izmir afghan specials please see my other listings.....       These are open pollenated Afghan special galania poppy seeds from Izmir. This means they may not be pure and possibly have hybridized with other somniferum growing along side them.    Possible parents are: peshawar persian whites, gigantium, pink peonies, hens and chicks or queens.   Youll recive 600 seeds per order.      These seeds are a mix of white and tan in color. pure afgan special are always white, so the tan seeds are for sure f2 crosses.          Papavar somiferum or breadseed poppy are widely used to add nuttiness and delightful texture to many dishes",Home & Living < Outdoor & Gardening < Plants < Herbs,BOUNTYbotanicals,4.9,488,9.41,EUR,https://schema.org/InStock,Seeds/Pink Flowers/Poppys,A professional easy to do business with,5,John,2024-09-07
