summary,pros,cons,review_date,job_title,rating_overall,rating_work_life_balance,rating_compensation_and_benefits,rating_career_opportunities,rating_culture_and_values,rating_diversity_and_inclusion,rating_senior_leadership,rating_recommend_to_friend,rating_business_outlook,overall_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating
Feedback about CreditOne,"Newer Cutting Edge Technology. 
Good Industry to work . 
Work Culture and Employee Benefits .",Learning Opportunities and Certification benefits .,2024-12-02T10:21:07.133,Lead Data Architect,5,4,5,5,5,5,4,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Good place,nice people to work with,training isn't very helpful for all,2025-02-16T09:59:30.827,Sr. Coordinator,4,0,0,0,0,0,0,,,3.4,3.2,3.3,3.7
Great Company,"Haven't worked here long but so far seems they care about employees and work environment isn't tense like your typical call center. No work from home which is fine, I like interacting with my co-workers.They provide free food/snacks daily as well as coffee and beverages.","Honestly only disadvantage is the benefits package. You accrue time per pay period and you are penalized for using your sick time. I would recommend allowing employees to use sick time they have and only pentalize or give an occurence if they are out of time and call in sick. Also you should trust your employees. Most companies provide their employees their vacation allotment up front to plan out vacation year. Also 3 weeks vacation isnt competitive, every bank i worked for previously gave 4 weeks vacation with the option to purchase a additional week.overall Credit One is a growing company with great culture and people.",2024-10-05T06:34:31.303,,5,5,4,5,5,5,5,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Good for a short time not a long time (not a great place to grow through your career),"� decent pay for the area
� decent benefits 
� stable job
� good people","� you will never get promoted
� seems like senior management doesn�t care about employees 
� subpar work life balance in comparison with others",2024-12-04T21:20:45.097,,2,2,3,1,3,4,1,NEGATIVE,NEUTRAL,3.4,3.2,3.3,3.7
"Stable, Well-Run, Work-Life Balance","Very stable, well run company. This company makes good decisions and avoids financial crises and layoffs. Cautious approach pays off in long run. Good work-life balance - you take your work home, your time is your time.","Not hybrid work. Not the most innovative place - strategies are stable and slow to develop. Because of company stability, advancement can sometimes be up to turnover, which is currently low.",2024-11-13T09:20:12.877,Marketing,5,5,5,5,4,4,5,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
"Good people, less than good messaging","The people and environment are friendly depending on your department and team. Stable work, except they did lay off a ton of IT this year. Office is nice, but cafeteria literally hasn�t been functional for 3 years.","Senior management and HR is out of touch and contradictory. 
We had a department wide meeting discussing the employee survey and Glassdoor reviews in relation to other companies in our industry. We gloat that we are the best and the leader in our field. ALL other companies offer hybrid minimum. We actively compare ourselves to other companies to set our standards (salary, scheduling, holidays). Keep this in mind for the rest of the review. All these quotes came from senior management during this meeting regarding employee feedback via survey and Glassdoor.
�If you want hybrid, you need to do some soul searching�. However, when called out that we never seen them in office or �on the floor� they say �We are senior management. We are trust worthy, so we can work from home�. Alright. You don�t trust the employees then? 
There are complaints about not having certain holidays off. �We check other companies to see if enough of them take a holiday off. If it passes a threshold, we add it as a holiday�. We are suppose to be industry LEADERS and we can�t even give Veterans Day off unless other SMALLER companies do it first? 
All other smaller companies in our space are doing work from home, let�s follow that threshold and follow suit then! Make it make sense. 
�Senior management sees value in everyone working here, that�s why we didn�t just hire some offshore workers�. Gee thanks, that�s super nice to hear as a human being. Thank you for not outsourcing me. There are complaints about lack of promotion and career progression. �If turnover is higher, you have a higher chance of promotion�. Wow, we love retaining top talent right? By building a toxic work environment where we hope our coworkers leave so we have the slim chance of promotion. What we got from the employee survey response was 
1. We heard you, and don�t care
2. We don�t trust you to do your job
3. Promotions will not happen unless you cannibalize your coworkers
4. We compare our industry standards when it agrees with senior management, but if it doesn�t, let�s ignore the rest of the industry standards.
I know the response on here will say �just leave if you aren�t happy�. I get it. But also, employees are told to provide feedback in hopes of making a change to their workplace. What if I want to make my current workplace better? Does the employee voice not matter? What�s the point of the survey if everything is dismissed immediately? Do you not want people to stay? 
�We are not in the business of human suffering� said HR.
Okay, then let�s listen to your workers who put in effort everyday to make the company successful.",2024-11-14T21:58:54.190,,2,2,2,1,3,3,1,NEGATIVE,NEUTRAL,3.4,3.2,3.3,3.7
"Inspiring Leaders, Great Opportunities and Resources","While i wont be able to assess the entire company, based on my experiences in Risk. My tenure at the bank has been a positive one. The benefits of working in an employer of this size is that you are valued for your inputs on new projects and visions for the bank. Projects are rewarding as you feel your inputs are valued as an employee. There are controls but is not extensive to the point where work is difficult to complete. Pay structure is competitive with the overall market. Whether it is someone just joining or others that are more tenured in their profession, C1B remains a great place to work. Again, this is based on my time at RISK. Work life balance is great. benefits are competitive. 401k match is competitive. Great People!",Promotion needs to be collectively agreed upon by multiple leaders. Leaders would influence tremendously as far as which teams are allocated resources. Others have expressed issues with WFH. Maternity and Paternity Leave of absence is less than other banks.,2024-06-26T11:02:04.740,Risk,4,5,4,5,4,3,4,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Stable job but that�s it,"Stable, well performing company
Job security","Different rules for different departments - several teams at C1B work from home but everyone pretends like it isn�t happening 

No incentives for performance

Zero paternity leave",2024-09-17T14:02:44.087,,2,4,2,2,2,3,2,NEGATIVE,NEUTRAL,3.4,3.2,3.3,3.7
Its great to work at Credit One bank,"- Good working culture 
- salary as per industry standard
- Good perks 
- Employee engagement and training resources 
- growth opportunities","- Little bit old technologies 
- job opportunity limited to Vegas and Dallas.",2024-12-02T10:37:09.587,Senior Software Engineer,4,5,4,4,4,4,4,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
Nice stepping stone,Good to newbies getting into corporate work out of college/transitioning,"Lots of remote workers, not enough qa, not enough collaboration",2024-12-03T16:55:25.177,Web Engineer,3,4,3,3,2,3,2,POSITIVE,NEUTRAL,3.4,3.2,3.3,3.7
What a mess!!!,Tickets to VGK and Raiders games.,"They took away the kitchen. Nepotism is very high. Sexism. Blatant retaliation. High turn over. Incompetent employees at all levels including management that was hired or promoted due to nepotism. Lower than the national average for salaries. No paternity leave. A lot of ""Good ol boys"". Leadership taking advantage of employees with work visas. Can be easily promoted due to turn over, but the issues is then put on you instead of being resolved and you wind up doing 3 peoples jobs.",2024-02-21T14:37:30.620,,1,2,2,3,2,3,1,NEGATIVE,NEGATIVE,3.4,3.2,3.3,3.7
Salary could be better,"The team I am working is super, I like the people. The manager is very understanding as well.",The salary increases and position growth is hard to obtain.,2023-12-22T12:24:49.263,QA Analyst,4,5,3,4,4,4,5,POSITIVE,,3.4,3.2,3.3,3.7
Great place to work in Las Vegas,"Really nice campus. Strong business in all economic environments - don't have to worry about layoffs in recessions/COVID/2007-2009 crash, etc. A true meritocracy. If you work hard and deliver you will be rewarded. If you do just enough to get by, you will not. If you have an unhealthy sense of entitlement, you'll put this criteria in the cons section, but it's a pro for me.","No corporation is perfect, and Credit One has it's issues like all other workplaces, but I believe the good outweighs the bad. Historically siloed org structure where interdepartmental collaboration was poor. Luckily this is getting substantially better in recent years with executive regime changes and retirements. I question the decision to get rid of the cafeteria and think the company should consider bringing it back. I'd prefer if cable news was banned from TVs in the building, the workplace should be void of left &amp; right wing propoganda.",2023-06-18T11:11:47.383,Vice President,5,5,5,5,5,5,5,POSITIVE,POSITIVE,3.4,3.2,3.3,3.7
A good company to work for in Las Vegas valley,"Good work life balance
Challenging problems","Less competition 
Food is not served in cafeteria",2024-03-05T17:30:44.753,AVP-IT,5,5,4,5,5,5,5,,,3.4,3.2,3.3,3.7
