summary,pros,cons,review_date,job_title,rating_overall,rating_work_life_balance,rating_compensation_and_benefits,rating_career_opportunities,rating_culture_and_values,rating_diversity_and_inclusion,rating_senior_leadership,rating_recommend_to_friend,rating_business_outlook,overall_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating
Early Career Development,"Great mentorship, career development, and investment into cultivation of skills
Highly collaborative environment with lots of accessible resources",Need greater diversification of project work but great for starting your career,2024-03-07T12:25:35.847,,5,0,3,4,5,0,0,POSITIVE,POSITIVE,4,4,4.3,4.4
"Great People, No Realistic Path to Long-Term Vision","- Great people, lots of fun opportunities outside of work and with other consultants","- Pressure from management to cut corners on projects for short-term profitability gains at the cost of long-term efficiencies

- Lack of formal technical leadership and dedicated solutions team results in significant project inefficiencies",2024-09-29T16:09:24.747,Senior Data Science Consultant,3,3,4,3,5,4,2,NEGATIVE,NEUTRAL,4,4,4.3,4.4
Amazing Place to work,Fantastic group of supportive and intelligent people to work with,No cons in my opinion,2023-12-21T09:25:39.017,,5,0,0,0,0,0,0,,,4,4,4.3,4.4
Fast Paced environement,"Good growth, a lot of commercial work",have to me flexible to work on a fast paced environement,2023-12-05T10:21:46.297,Senior Manager,5,4,4,4,5,4,5,POSITIVE,POSITIVE,4,4,4.3,4.4
Good Culture - Monotonous Type of work,Good culture and office space,Only Market Mix Modeling oriented projects,2023-04-10T17:13:09.563,Junior Data Science Consultant,3,5,2,3,5,2,4,,,4,4,4.3,4.4
"good culture, less developed skill profile","good work life balance, relaxed culture",type of work can be singular for clients,2023-02-27T16:24:22.730,Junior Consultant,3,5,2,4,5,4,4,POSITIVE,NEUTRAL,4,4,4.3,4.4
Good experience,Great experience with fortunate 500 clients,Not as many resources available as I would have liked.,2022-07-20T06:14:35.740,Senior Consultant,4,0,0,0,0,0,0,,,4,4,4.3,4.4
Comme Ci Comme Ca,"If you keep you head down and do work without complaining about the company, it's very hard to get fired.",Lots of Excel work. And often it feels like we're more focused on lining our pockets than helping our clients.,2021-04-18T13:33:49.820,Confirmed Consultant,3,0,0,0,0,0,0,,,4,4,4.3,4.4
Fast Growth company,"Fast growth 
Giving consultants a lot of responsibilities
Great company culture",Challenging to pilot fast growth,2021-04-19T10:02:55.410,Senior Manager,5,4,4,5,5,4,5,POSITIVE,POSITIVE,4,4,4.3,4.4
Great culture,Great training and onboarding process,No cons that I can think of,2022-05-08T14:08:57.423,Junior Consultant,5,5,3,5,5,5,5,POSITIVE,,4,4,4.3,4.4
random words to fill,"multiple projects
nice people
social events
work from home and a few days abroad
Correct salary","No shares
random words to fill",2024-06-05T14:00:09.333,Senior Machine Learning Engineer,4,0,0,0,0,0,0,,,4,4,4.3,4.4
Very good company!,"Nice people, good projects and great work environment!",I can�t really think of anything major.,2024-06-01T10:27:27.050,Junior Consultant,5,5,4,5,5,5,5,,POSITIVE,4,4,4.3,4.4
Good but lots of work,Good culture good pay and bonus scheme. Lots of young and driven people! Great for early careers and growth.,French centralised and work never ends but that's consulting,2024-04-25T06:08:49.213,,5,4,5,5,5,5,5,POSITIVE,POSITIVE,4,4,4.3,4.4
Great Place to work,"Brilliant team with great work ethics and understanding. 
Flexiblity",Still have some traditional consulting business mindset and process can be improved,2024-05-03T06:25:34.343,Commercial Director,5,4,4,4,5,5,4,POSITIVE,POSITIVE,4,4,4.3,4.4
Great for learning what Consulting is,Fantastic &amp; inspiring team - you'll be surrounded by bright minds on a daily basis,"Clearly under the market standards in terms of salaries
Some missions can also be quite uninteresting (which is imo normal when working in a consulting company), but the trick is that you need to know the right people internally is you want to work on the best ones, and this is very unlikely to happen within your first 2 years.",2024-02-22T05:36:46.850,Junior Data Scientist,4,5,2,4,5,4,5,POSITIVE,,4,4,4.3,4.4
Pros and Cons,"Good people, quick progression, nice office.","Repetitive engagements, service offerings and opportunities fewer if not in Paris, attempt to enter sustainability space is misguided.",2024-02-16T07:24:27.213,Senior Data Science Consultant,4,3,3,5,3,0,4,POSITIVE,NEUTRAL,4,4,4.3,4.4
Good company culture but relatively long hours,"diverse team, highly intelligent, company really care about their people","pay wasn't particularly competitive for the hours worked, projects can be tedious",2023-11-23T09:29:44.447,Senior Consultant,4,0,0,0,0,0,0,,,4,4,4.3,4.4
great company,- great culture - big variety of clients - opportunities to learn new skills,- sometimes similar types of projects,2023-11-11T11:30:53.613,Senior Consultant,5,5,5,5,5,5,5,POSITIVE,POSITIVE,4,4,4.3,4.4
Run away if you can,"Nice office, Talented and smart people",Toxic culture. No support but high expectation.,2023-12-08T02:43:00.393,Senior Consultant,1,1,4,2,1,4,1,,,4,4,4.3,4.4
Good spirit inside the company,Great vibes between colleagues Free to manage your schedule,Harsh in terms of negociation with HR Salary is not amazing compared to employee backgrounds,2023-08-30T03:16:32.550,Consultant,4,4,4,4,5,5,4,,,4,4,4.3,4.4
Consultnat,"Great coworkers, interesting projects, opportunity for growth",Low pay relative to the workload,2018-08-28T09:31:50.847,,4,0,0,0,0,0,0,,,4,4,4.3,4.4
Good working experience,"Good mentorship, friendly coworkers in office",Can be stressful when projects pile up,2025-02-03T14:54:45.550,Data Science Intern,5,0,0,0,0,0,0,,,4,4,4.3,4.4
Bad atmosphere,"Varied work
Young colleagues
Office","Poor division of workload
Stretched on multiple projects
Low salaries
Toxic management
Severe lack of diversity",2025-02-04T23:09:00.780,Manager,1,1,3,2,3,1,2,NEGATIVE,NEUTRAL,4,4,4.3,4.4
Great company culture!,Friendly people that help keep each other motivated. Management that genuinely cares about people development.,Projects are mostly Mixed Marketing Modelling related.,2025-01-04T12:43:53.303,Data Science Consultant,5,5,4,4,5,5,5,POSITIVE,POSITIVE,4,4,4.3,4.4
Pros and cons of Ekimo as an Employer,"Ekimo fosters an innovative work environment, encouraging employees to take ownership of their projects and contribute to impactful healthcare solutions. The company emphasizes personal and professional growth, offering opportunities for continuous learning and skill development. Additionally, its focus on scalability and digital health positions employees at the forefront of a rapidly growing industry with exciting challenges.","Due to the fast-paced nature of the health-tech industry, employees may face high-pressure situations and tight deadlines, which can sometimes lead to stress. The growing nature of the company can mean that certain roles may lack well-defined processes, leading to ambiguity in responsibilities. Additionally, balancing work across multiple time zones can create challenges in team coordination and communication.",2024-09-27T00:35:42.157,Chief Executive Officer (CEO),5,4,4,5,5,5,5,POSITIVE,POSITIVE,4,4,4.3,4.4
Positive Culture &amp; Growth Opportunities,"Amazing people, culture and overall a great place to grow. Lots of opportunities!","A lot of responsibility, however this is mainly a good thing.",2024-11-14T04:15:05.880,Junior Business Development Executive,5,4,4,4,5,4,5,POSITIVE,POSITIVE,4,4,4.3,4.4
Super great people and workspace but DEFINITELY need more organisation,"- Great people, everyone is super nice and you feel like you can be more than just colleagues
- The work is super fun and it is great to work for a wide range of clients in different industries
- Salary is great!","- Feels like whether you are good or not, you will pass probation anyways... there can be more structure to evaluating probation such as seeking both upwards and downwards feedback AND actually taking the feedback into consideration and taking some actions...",2024-08-16T08:43:46.147,Anonymous,4,0,0,0,0,0,0,,,4,4,4.3,4.4
Good company,Culture excellence office people location remote,career path visibility work life balance,2024-10-24T09:38:00.580,Junior Consultant,5,4,4,4,5,5,5,POSITIVE,POSITIVE,4,4,4.3,4.4
Great place to work!,"It is a wonderful place to work with great people, solid values, and a strong culture.",I honestly don't see any cons.,2024-08-20T00:31:24.860,Senior Manager,5,5,5,5,5,5,5,POSITIVE,POSITIVE,4,4,4.3,4.4
Great,"Great environment, you learn a lot",I have nothing to share,2024-08-22T06:28:14.937,Junior Consultant,5,0,0,0,0,0,0,POSITIVE,,4,4,4.3,4.4
