summary,pros,cons,review_date,job_title,rating_overall,rating_work_life_balance,rating_compensation_and_benefits,rating_career_opportunities,rating_culture_and_values,rating_diversity_and_inclusion,rating_senior_leadership,rating_recommend_to_friend,rating_business_outlook,overall_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating
great,"big company, lots of people to work with. opportunities","big company, no yearly bonus.",2025-02-06T18:22:20.573,Registered Nurse,5,5,5,5,5,5,5,POSITIVE,POSITIVE,3.7,3.7,3.8,3.9
Honest review,The benefits are decent.  They offer 401k.,Not enough doctors to keep up with patient demand.   Nurses are overworked. You have  to use PTO time for Holidays.  No overtime available.  Annual raise is not enough to keep up with the cost of living.,2025-03-02T17:09:33.483,Front Office Assistant,3,5,3,4,3,4,3,,,3.7,3.7,3.8,3.9
Somographer,"Competitive pay, Good work environment",On-Call coverage at night during weekdays and weekends. Career growth is difficult to achieve. High turn over with new employees due to call responsibilities.,2025-03-02T09:10:56.633,Registered Diagnostic Medical Sonographer,4,2,4,1,4,4,3,POSITIVE,POSITIVE,3.7,3.7,3.8,3.9
great team,"team leaders
great manager
knowledgeable
insurance
team","none
none
none
none
communication",2025-02-21T11:56:21.033,Patient Associate,4,4,5,5,5,5,4,POSITIVE,POSITIVE,3.7,3.7,3.8,3.9
Old salary,Good benefits for all employees,Low pay for entry level,2025-02-19T16:56:38.553,Credentialing Specialist,3,3,3,3,3,3,3,,,3.7,3.7,3.8,3.9
Unsafe Patient Ratios,The experience and support from other employees.,"Understaffed, unsafe Patient Ratios, 12 and a half hour shifts with only a 30 minute break, and lack of support from management on the floor",2025-02-13T21:22:37.357,Patient Care Technician,1,1,1,1,1,1,1,NEGATIVE,NEGATIVE,3.7,3.7,3.8,3.9
Fantastic work environment,"Amazing coworkers, diverse population, great benefits","Entry level pay for external new hires, with experience, is low compared to cost of living in the area. They offer sign on bonuses, but step level pay for annual raises rather than merit.",2025-01-22T22:38:42.507,,4,5,3,5,5,5,4,POSITIVE,POSITIVE,3.7,3.7,3.8,3.9
"Worst place I've ever worked, TOXIC!",The benefits are good. Some of the people that I worked with were pretty decent they followed the mission well. I believe they have good intentions at OSF.,"Management is terrible. If someone doesn't like you they are able to bully you and there are no repercussions. I have never worked in a department that was so awful and toxic in ALL of my life. I would never recommend, to a friend, a position in Sterile Processing Department!",2024-10-07T20:07:56.363,Certified Sterile Processing Tech,2,2,4,2,4,3,2,NEGATIVE,NEGATIVE,3.7,3.7,3.8,3.9
Great Place,Level 1 trauma center that will allow you to see a lot and help you gain knowledge,"Lots of patients to see, heavy workload",2025-01-18T19:48:56.450,Respiratory Therapist,2,1,3,3,3,4,3,NEGATIVE,NEUTRAL,3.7,3.7,3.8,3.9
Hourly pay,"flexible, welcoming, benefits, good coworkers","night shifts, extra training days",2025-01-29T13:05:05.743,PCT Patient Care Tech,4,0,0,0,0,0,0,,,3.7,3.7,3.8,3.9
