summary,pros,cons,review_date,job_title,rating_overall,rating_work_life_balance,rating_compensation_and_benefits,rating_career_opportunities,rating_culture_and_values,rating_diversity_and_inclusion,rating_senior_leadership,rating_recommend_to_friend,rating_business_outlook,overall_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating
Good,It's a good place for training.,pace is a little bit slow,2024-02-16T17:31:27.187,Full Stack Developer,5,5,5,5,5,5,5,,,4.1,4.1,4.1,4.3
trying again and gain till I succeeded,"They never stopped working with me. Made me work on a wide range of tech skills which I did not think I needed to know. I Joined them after thinking after a long time as they were expensive. 

My mistake -I joined another place which was cheaper and paid them $10,000 and wasted 5 months of time and after that the bootcamp which had promised me a lot could not get me a single interview. You know I am talking about you Dojo.

At Synergisticit the Projects, the tech experience I received was very important to help me transition into a data scientist position.

I stayed with them for almost 9 months and had 33 screenings and 11 interviews. The Job market was tough, and I had my friends who were from my school who could not even get a single interview however me being with synergisticit made a lot of difference
I got experience as a data scientist, a data analyst, a BI analyst and somewhat as a ML engineer. 

after 9 months 10 days I am working as a Jr data scientist at a company with great benefits and hopefully good growth and a salary of $105,000","Investment and duration may not be for everyone.
Also they only offer data science and Java programs",2024-11-23T18:23:04.130,Junior Data Scientist,4,3,5,5,4,5,5,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
Working at SynergisticIT,Good Training Practices with excellent mentors.,Old way of solving problems.,2024-09-25T10:13:58.967,Full Stack Java Developer,4,0,0,3,0,0,0,,,4.1,4.1,4.1,4.3
STOP TAKING OVER THE JOB BOARDS,NOTHING I HATE THIS COMPANY,"Every single tech position is saturated with these ""job listings"", if I wanted to pay 10k to get a job I would go back to school. It should be illegal for companies offering no real job like this to post on job boards. STOP IT!! You are congesting job boards. It needs to stop.",2024-06-12T14:33:45.533,Data Analyst,1,1,1,1,1,1,1,NEGATIVE,NEGATIVE,4.1,4.1,4.1,4.3
great place for improving,great place for improving and learning,not too much space for promotion,2023-12-29T12:51:11.553,Data Scientist,5,0,4,5,0,0,0,,,4.1,4.1,4.1,4.3
good company,good company with good people,not from my work experience,2023-11-28T14:47:30.343,Senior Java Developer,5,0,0,5,0,0,0,,,4.1,4.1,4.1,4.3
bad  contract,the training is better than other companies,"training contract is strict . I had to pay them 18000 as settlement and 4000 in their lawyer charge and every month I am paying them 2000 dollars out of my paycheck. I had taken training and went on project and then left without finishing the 1 year contract which they had made me sign. they have same terms in training contract and in the other contract which they make you sign when you get project which is 25000 $ . if you join them and bypass them , take training and run away or join project and leave in middle of project . they send some emails  from their account and if you pay the penalties then it is fine if not their lawyer sends  notice, then court notice. I even had changed my phone and address somehow the lawyer still caught hold of me and sent letters to my new place and to my email and workplace. I hired a lawyer but he was charging 5000 for the case and said you will have to pay so I settled with them. I feel I should not have joined them or should have completed my contract as I am still paying through my nose for a small mistake. I cannot take manager name as glassdoor will not let me take his name he did not show me any mercy when I explained I don't have any money to pay for contract violation. good thing is I have a job presently to pay them otherwise I would be on road if it was left to them",2016-02-09T22:06:42.853,Programme Analyst,2,0,0,0,0,0,0,NEGATIVE,NEUTRAL,4.1,4.1,4.1,4.3
Best bootcamp of all times,"1. Adequate and thorough training of fundamentals of programming.
2. Working on real life situation projects to prepare you for the real job projects.
3. Very helpful and understanding trainers.
4. Great support from the management and all other departments.
5. A great job placement rate.

NOTE: Being an OPT Student it can be so challenging to get a job but SynergisticIT helped me get a job within 2 months which is something that I am so grateful for. Thank you guys I am so grateful.",None I can think of.,2022-08-17T13:28:53.993,Data Analyst & Machine Learning Engineer,5,5,5,5,5,5,5,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
Breakthrough to the IT,"If you don't have enough knowledge and experience or you just can't focus on one thing, they'll help you. My trainers were very good and I am absolutely sure that the risk was worth taking. Everyone among my teammates got their foot in IT.","Although the trainings are remote, you can't combine them even with any other part time job - sometimes you have no time for lunch. No life-work balance at all for the duration of the program (almost 10 months)",2022-05-27T22:45:59.347,Data Scientist,5,4,4,5,5,5,5,POSITIVE,,4.1,4.1,4.1,4.3
Stepping stones to success,"Writing this review to give feedback as i owed synergisticit this .

good organization to get down and dirty on skills required by google, apple, visa ..... After being with synergisticit  i had 3 offers in 2.5 weeks and rather than clients choosing me i could turn tables on them and pick and choose clients rather than waiting by the phone and refreshing emails waiting to hear from them

i joined synergisticit almost 1.5 years back and during my time with them had opportunity to work on projects involving core java , advanced java , full stack technologies like angularjs, node.js and mongodb . Most of other firms which are bootcamps dont do 30% of what they do .

All in all after being with them and working on projects made me competent enough that i was able to move to secure a position at apple cupertino . I was with synergistic people for almost 6 months and it was a long process which was a stepping stone to my eventual success of getting an opportunity to work at apple.

You will work long and hard and get tired at times also . End result as earlier reviews say is great.  I give 2 thumbs up to them . listen to them and follow their process and you will get success. Dont rush stuff. After doing projects that's not enough you need to prepare yourself and they also give you tons of coding work which prepares you for other clients",sometimes technologies might be overwhelming and you feel or have self doubt whether you really know stuff.. when i interviewed at other clients i had 3 offers in 15 days so i guess i did know stuff,2018-12-18T15:36:15.680,Full Stack Developer,5,3,4,5,0,0,4,POSITIVE,POSITIVE,4.1,4.1,4.1,4.3
