summary,pros,cons,review_date,job_title,rating_overall,rating_work_life_balance,rating_compensation_and_benefits,rating_career_opportunities,rating_culture_and_values,rating_diversity_and_inclusion,rating_senior_leadership,rating_recommend_to_friend,rating_business_outlook,overall_rating,compensation_and_benefits_rating,culture_and_values_rating,diversity_and_inclusion_rating
Good,People are chill at night shift,Does not have much career prospect,2025-01-12T16:35:04.873,Research Assistant,5,5,1,1,5,5,1,,,3.3,2.6,3.2,3.8
Review ,It was a nice short term experience,The upper management is not so great,2024-06-18T21:05:57.687,,3,0,0,3,0,0,0,,,3.3,2.6,3.2,3.8
"Not the best place to work, ok as a last resort","- Somewhat friendly people
-office in central location","-Compensation does not match cost of living in NYC
-endless work
-Poor relations between management and staff
-No company culture",2024-04-02T12:43:16.783,EDM,2,5,2,2,1,1,1,NEGATIVE,NEUTRAL,3.3,2.6,3.2,3.8
Database Manager,"Nice teams, a good place to develop the knowledge base of the use economic and financial data in industry.","pay is not at industry level for a NYC based non remote company. 
No Career progression.",2024-01-10T06:43:18.443,Economic Database Manager,2,2,2,2,3,5,2,NEGATIVE,POSITIVE,3.3,2.6,3.2,3.8
Few Pros and a lot of cons,"Good place to start right out of School to gain some work experience
Nice co-workers ready to help when you need it
Some exposure to some key economic/finance indicators based on the team you belong to
good health insurance
Company refunds for 1 class per semester (any tri state uni) if you get b or more","Not a place for someone who values career growth and skillset mobility. 
Virtually no upward mobility
Salary is very uncompetitive. 
Long hours (8.5) hours excluding lunch break. 9.5 hrs per day. 
No transferable technical skills other than excel and limited python/vba/command prompt batch files
Pay is based on tenure and not skillset. Starts at 50-53k and increases by 5-8 % average per year. 
Very limited vacation days and vacations are earned, i.e. no vacations for the first 6 months of your employment as a full time employee.
For people on h1b, don't expect company to sponsor your green card.",2022-05-23T18:44:40.363,Database Manager,2,3,1,1,1,4,1,,,3.3,2.6,3.2,3.8
Good for a first job,Flexible hours for students and good for a first job.,Gets very mundane and uninteresting. Lack of culture in the workplace.,2023-09-26T15:40:53.797,Research Assistant,3,4,2,2,2,4,4,,,3.3,2.6,3.2,3.8
Good stepping stone,Great people that help each other,Pay and can get pretty boring after learning the basics,2023-08-10T17:35:07.203,Research Analyst,3,0,0,0,0,0,0,,,3.3,2.6,3.2,3.8
a good stepping stone,this job will be a good stepping stone for your next opportunity,"you can end up with bad hours, no upward mobility",2023-07-25T23:50:35.367,Database Manager,4,4,2,2,1,4,2,POSITIVE,NEUTRAL,3.3,2.6,3.2,3.8
Stay away,"Nothing i can recall , seriously","Salary , micro management, and shifts",2023-10-02T19:34:15.707,Database Manager,1,1,1,1,1,1,1,,,3.3,2.6,3.2,3.8
Pretty Good,Flexible hours nice environment Great Peopl,Boring Work Sometimes feeling rushed dated system,2023-05-10T09:54:20.370,Research Assistant,3,0,0,0,0,0,0,,,3.3,2.6,3.2,3.8
It's good,Nice people and easy enough work.,Sometimes the work can be done quickly.,2022-06-28T04:28:14.053,Economics Research Assistant,4,4,3,3,5,5,4,POSITIVE,POSITIVE,3.3,2.6,3.2,3.8
old tech,none really its an old place,"low pay, old tech boring work",2022-06-28T15:15:53.430,,2,0,0,0,0,0,0,,,3.3,2.6,3.2,3.8
Good place to build skills,"Relatively laid back work environment.  You can set your own schedule and take time off pretty much whenever you need time off.  Two weeks of fairly basic training.  Learning curve after that, but not too difficult to get over that hump.  Can't say anything about other DBMs, but the one I worked with was fairly hands-off and that ended up working well.",Can get boring and monotonous at times.  Little room for growth and development if your background does not align well with economics.  Upper management seems to be cracking down on little things that are insignificant to productivity.  The short courses are not very useful.,2014-12-07T16:16:59.573,Senior Research Assistant,4,0,0,0,0,0,0,POSITIVE,,3.3,2.6,3.2,3.8
Great Company to learn about Economics,"-Everyone is super friendly and helpful- some of the best people work or worked here!
-you learn a lot about Economics.  If a question is not clearly answered by the data or program, coworkers and the research team will gladly explain it to you
-interaction with top clients in the economics field
-entrepreneurial spirit pervades everything.  Everyone pitches in, can offer an opinion, and get heard.  Very little bureaucracy. 
-everyone on the same page or similar page with what should be done with the data, formulas, and program.  Everyone working with the data has an econ background and everything was specifically made to store and use economic data.  It makes development easy.","- location- especially for late shifts or early meetings
-no WFH flexibility
-mid-size business cannot offer as much in the way of benefits but tries to make up for it with pay.",2018-02-05T09:07:35.993,,4,2,3,4,5,0,5,POSITIVE,POSITIVE,3.3,2.6,3.2,3.8
It's a job,"Work from home (for now)
Great diversity. Multicultural, multilingual, large age spectrum, women leaders.
Excellent benefits
Nice people
(maybe a con) If you're an RA: you can be terrible at the software aspect of this job for a really long time and never actually get fired; we'll literally just hand you baby work every day and pay you a little bit more every 6 months.","Old school software and management style
High turnover on certain shifts: workload can fall on you when someone leaves
office politics: being likable gets you just as far as being good at your work
database/management quality is uneven across teams",2021-07-22T07:47:22.207,International Database Manager,3,4,5,3,4,5,3,POSITIVE,NEGATIVE,3.3,2.6,3.2,3.8
Convenient and satisfying (albeit tedious) part-time work,"The learning curve to be decent/good at what you're doing typically lasts between 2-3 months. Beyond that, you have an idea of what type of projects you'll mainly be working on, which provides security and some comfort going forward. It's a relatively casual work environment and the people who work there are, on a whole, very pleasant. For students, it's very convenient work, considering proximity to subways and general requirements to work between 20-30 hours. I really liked my supervisor.","Almost all feedback that you receive will pertain to making a mistake. While there's definitely some perk to seeing your work reflect directly onto the database, you learn to settle for not hearing complaints from management as affirmation as good work. Some tasks are extremely tedious and don't feel like time is being well-spent.",2015-02-21T11:47:34.670,Research Assistant,4,0,0,0,0,0,0,,,3.3,2.6,3.2,3.8
Good for those beginning their career,"Good opportunity to learn Excel skills (Macro, Pivot Table, Vlookup, Functions etc.), how to gather large data sets and process them. Casual atmosphere. People here are willing to help (if you ask for)",Lag of employees' empowerment. You kind of have to wait for senior managers to help you or you figure out how to do the job on your own but you can't really make a decision on the process. Friendly and easy environment. Casual and can be too casual. Not really a business professional environment that you're looking for.,2014-07-09T14:52:26.527,Economic Research Assistant,3,3,1,1,2,0,2,POSITIVE,NEUTRAL,3.3,2.6,3.2,3.8
Very bad working environment but good for the resume,Because a lot of other companies use the Haver database it is good to have on your resume.,Horrible pay for the amount of work you do. Tasks aren't distributed evenly. some people do nothing all day and get paid the same as people who are working very hard. Kinda feels like high school as some DBMs only encourage and help the SRAs they have good relationships with.,2015-01-15T18:51:45.233,SRA,2,3,1,4,2,0,1,NEGATIVE,NEGATIVE,3.3,2.6,3.2,3.8
Structural Issues,"Great people within the teams, a very relaxed working environment, and a central Manhattan location.","Management needs a total shake down. The leadership from the top down is trying to play both sides for a CEO who inexplicably wants things to not change in a data company in the 21st century. For example if a complaint is raised about the unnecessary morning meetings and potential changes that can be made to it, that line of thinking is immediately shut down.",2019-03-15T07:43:49.927,Database Manager,2,5,1,1,2,0,3,NEGATIVE,NEGATIVE,3.3,2.6,3.2,3.8
Low Pay and no respect,"CEO is wonderful and really cares about data. 
Company did not lay anyone off during the pandemic
Good healthcare plan
Work life balance is good","Upper management loves to micro manage
�Fire drills� get created out of thin air
Employees are severely underpaid compared to what they should be making
Lots of promises made very few kept from upper management
No good opportunities for career advancement
Upper management makes everyone come to the office because they want to breath down everyone�s neck
People are leaving in droves because the culture is bad and morale is low
Upper management is paranoid",2021-10-12T11:16:04.867,,2,5,2,2,1,3,1,NEGATIVE,NEGATIVE,3.3,2.6,3.2,3.8
Research Intern,Great environment with very helpful supervisors that will assist you along the way. Flexible with school!,I can�t think of a con right now.,2023-01-18T15:21:44.160,Research Intern,5,5,3,5,5,5,5,POSITIVE,POSITIVE,3.3,2.6,3.2,3.8
great,"easy, chill, nice office, nice people",limited exit option. low pay,2023-02-15T20:41:09.647,Research Assistant,4,0,0,0,0,0,0,,,3.3,2.6,3.2,3.8
Great Company,- Great coworkers - Not too difficult of a job,Being there from 8am - 6 pm felt like too long. No room for growth,2022-12-23T08:03:37.893,Technical Support Analyst,4,0,0,0,0,0,0,,,3.3,2.6,3.2,3.8
Good Place to Start,Good work life balance Helpful and smart colleagues,Low pay No room for advancement,2022-12-16T12:19:25.547,Sales,3,5,3,3,3,4,3,,NEUTRAL,3.3,2.6,3.2,3.8
Okay company,Best place to get your feet wet after a huge pile of rejection,Night hours and low salary,2022-09-27T14:46:51.243,Research Assistant,5,3,3,3,3,3,3,,,3.3,2.6,3.2,3.8
"Great place to start your career, but no room for career growth","Everyone is super kind and understanding, great diversity, great place to jump start your career","Monotonous work, low pay, not a lot of room for career growth, outdated technology, all the technical skills you learn are company-specific and not transferable to other jobs at other companies",2022-06-02T20:15:49.990,Economics Research Assistant,3,3,1,2,5,5,3,NEGATIVE,NEUTRAL,3.3,2.6,3.2,3.8
Not a great place to work,"A decent part-time opportunity for recent graduates and those who want to split time between work and graduate school.

You can pick your hours, working between 20-40 hours per week on your designated shift.

A really easy job to do when you are working remotely.","Seniority does not matter. I worked under a database manager for 2 years. About a year and a half in he announced he was leaving, I applied for his position and did not even receive a second interview.

Very monotonous work. Not necessarily a bad thing, but if you are looking for enjoyment in your job, this isn't the type of work to do. 

You are judged based on the mistakes you made. If you are responsible for Client Problem Reports and receive average performance reviews, you will not be looked upon as a valued employee.

The hours, they stink. On the Asian and Euro shifts, you must adjust your life pretty dramatically to accommodate for these working hours.

No room for growth. Even if you do get a DBM job, you will probably be stuck in that position for a while, and you can't advance within the company.",2021-09-01T16:02:11.527,Economic Research Assistant,2,3,1,2,3,5,1,NEGATIVE,NEGATIVE,3.3,2.6,3.2,3.8
