_id,fullName,brandName,langualCode,langualCodeDescription,allIngredients,netContents,claims,offMarket
['68753'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy whole flowering plant (Eschscholzia californica) extract PlantPart: whole flowering plant Genus: Eschscholzia Species: californica Note: (certified organic) (Extraction rate 140 mg fresh herb per 0.7 ml.)', 'name': 'California Poppy whole flowering plant (Eschscholzia californica) extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic Cane Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}]]","[[{'unit': 'fl. Oz.', 'quantity': 1, 'display': '1 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 30, 'display': '30 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[1]
['68755'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy whole flowering plant (Eschscholzia californica) extract PlantPart: whole flowering plant Genus: Eschscholzia Species: californica Note: (certified organic) (Extraction rate 140 mg fresh herb per 0.7 ml.)', 'name': 'California Poppy whole flowering plant (Eschscholzia californica) extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic Cane Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}]]","[[{'unit': 'fl. Oz.', 'quantity': 4, 'display': '4 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 120, 'display': '120 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[1]
['200561'],['California Poppy Seed'],['Bio Nutrition'],"['E0159', 'A1306']","['Capsule', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy PlantPart: seed Note: from 125 mg 4:1 extract', 'name': 'California Poppy', 'category': 'botanical'}, {'ingredientGroup': 'Magnesium stearate', 'notes': '', 'name': 'Vegetable Stearate', 'category': 'other'}, {'ingredientGroup': 'Cellulose', 'notes': '', 'name': 'Vegetable Cellulose', 'category': 'fiber'}, {'ingredientGroup': 'Silicon', 'notes': '', 'name': 'Silica', 'category': 'mineral'}]]","[[{'unit': 'Vegetarian Capsule(s)', 'quantity': 60, 'display': '60 Vegetarian Capsule(s)', 'order': 1}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[0]
['203399'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy whole flowering plant (Eschscholzia californica) extract PlantPart: whole flowering plant Genus: Eschscholzia Species: californica Note: (certified organic) (Extraction rate 140 mg herb per 0.7 ml.)', 'name': 'California Poppy whole flowering plant (Eschscholzia californica) extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic Cane Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}]]","[[{'unit': 'fl. Oz.', 'quantity': 4, 'display': '4 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 120, 'display': '120 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[0]
['203940'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy whole flowering plant (Eschscholzia californica) extract PlantPart: whole flowering plant Genus: Eschscholzia Species: californica Note: (certified organic) (Extraction rate 140 mg fresh herb per 0.7 ml.)', 'name': 'California Poppy whole flowering plant (Eschscholzia californica) extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic Cane Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}]]","[[{'unit': 'fl. Oz.', 'quantity': 1, 'display': '1 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 30, 'display': '30 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[0]
['58488'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy whole flowering plant (Eschscholzia californica) extract PlantPart: whole flowering plant Genus: Eschscholzia Species: californica Note: (certified organic) (fresh (undried)) (Extraction rate 400 mg fresh herb per 0.7 ml.)', 'name': 'California Poppy whole flowering plant (Eschscholzia californica) extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic Cane Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}]]","[[{'unit': 'fl. Oz.', 'quantity': 1, 'display': '1 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 30, 'display': '30 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[1]
['54012'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy whole flowering plant (Eschscholzia californica) extract PlantPart: whole flowering plant Genus: Exchscholzia Species: californica Note: (certified organic) (fresh (undried)) (Extraction rate 400 mg fresh herb per 0.7 ml.)', 'name': 'California Poppy whole flowering plant (Eschscholzia californica) extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic Cane Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}]]","[[{'unit': 'fl. Oz.', 'quantity': 4, 'display': '4 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 120, 'display': '120 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[1]
['45985'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy whole flowering plant (Eschscholzia californica) extract PlantPart: whole flowering plant Genus: Eschscholzia Species: californica Note: (certified organic) (fresh (undried)) (Equivalent to approx. 400 mg fresh herb.)', 'name': 'California Poppy whole flowering plant (Eschscholzia californica) extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic Cane Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}]]","[[{'unit': 'fl. Oz.', 'quantity': 4, 'display': '4 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 120, 'display': '120 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}]]",[1]
['39356'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy liquid extract PlantPart: root, leaf & flower Genus: Eschscholzia Species: californica Note: Fresh herb / menstruum ratio: 1:1.75', 'name': 'California Poppy liquid extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}, {'ingredientGroup': 'California Poppy', 'notes': '', 'name': 'certified organic California Poppy extractives', 'category': 'botanical'}]]","[[{'unit': 'fl. Oz.', 'quantity': 1, 'display': '1 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 29.6, 'display': '29.6 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}]]",[1]
['42632'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'California Poppy whole flowering plant (Eschscholzia californica) extract PlantPart: whole flowering plant Genus: Eschscholzia Species: californica Note: (certified organic) (fresh (undried)) (Equivalent to approx. 400 mg fresh herb.)', 'name': 'California Poppy whole flowering plant (Eschscholzia californica) extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'certified organic Cane Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'distilled Water', 'category': 'other'}]]","[[{'unit': 'fl. Oz.', 'quantity': 1, 'display': '1 fl. Oz.', 'order': 1}, {'unit': 'mL', 'quantity': 30, 'display': '30 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}]]",[1]
['307459'],['California Poppy'],['Herb Pharm'],"['E0165', 'A1306']","['Liquid', 'Botanical']","[[{'ingredientGroup': 'California Poppy', 'notes': 'certified organic, extraction rate 140 mg herb per 0.7 ml, dry herb/menstruum ratio: 1:5', 'name': 'California Poppy whole flowering plant extract', 'category': 'botanical'}, {'ingredientGroup': 'Alcohol', 'notes': '', 'name': 'Cane Alcohol', 'category': 'non-nutrient/non-botanical'}, {'ingredientGroup': 'Water', 'notes': '', 'name': 'Water, Distilled', 'category': 'other'}]]","[[{'unit': 'Fluid Ounce(s)', 'quantity': 1, 'display': '1 Fluid Ounce(s)', 'order': 1}, {'unit': 'mL', 'quantity': 30, 'display': '30 mL', 'order': 2}]]","[[{'langualCodeDescription': 'All Other', 'langualCode': 'P0115'}, {'langualCodeDescription': 'Structure/Function', 'langualCode': 'P0265'}]]",[0]
