ingredient,count
california poppy,251
water,169
glycerol,122
passionflower,106
alcohol,93
proprietary blend (herb/botanical),71
valerian,69
header,67
lemon balm,66
proprietary blend,43
capsule,40
oats,38
orange (unspecified),35
skullcap,34
hops,30
chamomile,26
lecithin,25
carbohydrate,25
blend (herb/botanical),22
cellulose,20
beeswax,18
olive oil,18
blend,17
silicon,16
english lavender,16
chamomile (unspecified),16
german chamomile,15
kava kava,15
gotu kola,14
lemon,14
xanthan gum,13
mullein,13
sucrose,13
jujube,13
european elder,13
acerola,13
hawthorn,12
proprietary blend (combination),12
grindelia,12
catnip,11
magnesium,11
sweet orange,11
melatonin,10
st. johns wort,10
licorice,10
anise,9
sugar,9
blue vervain,9
thyme,9
wild cherry,9
corydalis,8
magnesium stearate,8
theanine,8
hemp,7
stearic acid,7
meadowsweet,7
ashwagandha,7
cannabinoids,7
european vervain,7
vervain (unspecified),6
sugar cane,6
gaba,6
inositol,6
citric acid,6
hypromellose,5
calcium,5
manganese,5
coating,5
holy basil,4
5-htp,4
agrimony,4
cardamom,4
yucca,4
rhodiola,4
lettuce,4
lavandin,4
black cohosh,4
maltodextrin,4
wild lettuce,4
turmeric,4
vitamin c (unspecified),4
ginger,4
vitamin c,3
linden,3
nutmeg,3
white peony,3
black pepper,3
jamacian dogwood,3
black-eyed susan,3
barley,2
bee pollen,2
methionine,2
medium chain triglycerides (mct),2
mugwort,2
niacin,2
potassium,2
papaya,2
riboflavin,2
rice,2
vitamin b6,2
vitamin b12,2
thiamin,2
sugar (unspecified),2
asclepias cordifolia,2
american ginseng,2
blue-green algae,2
gelatin,2
gentian,2
glutamine,2
biotin,2
folate,2
dl-phenylalanine,2
devils claw ,2
choline,2
cysteine,2
cowhage,2
brandy,2
flavonoid (mixture),2
chamomile (not specified),2
carbohydrate (unspecified),2
zinc,2
coltsfoot,1
lobelia,1
chastetree,1
gumweed,1
curcumin,1
ginkgo,1
croscarmellose sodium,1
honey,1
english ivy,1
jamaican dogwood,1
blend (combination),1
eleuthero,1
celery,1
lavandula (unspecified),1
dextrin,1
cats claw,1
irish moss,1
dandelion,1
glucose,1
fiber (unspecified),1
carboxy methyl cellulose,1
chromium,1
hericium mushroom,1
coconut oil,1
l-carnitine,1
mallow,1
mulungu,1
muira puama,1
maytenus krukovii,1
pantothenic acid,1
astragalus,1
prickly ash (unspecified),1
baikal skullcap,1
purple milkweed,1
reishi mushroom,1
schisandra,1
sodium citrate,1
slippery elm,1
sour cherry,1
tbd,1
tayuya,1
taurine,1
tarrify,1
sweet marjoram,1
valerenic acid derivatives,1
vitamin b6 (unspecified),1
vitamin b5,1
white willow,1
acacia,1
calcium silicate,0
calanus finmarchicus,0
caffeine,0
agmatine,0
agave,0
agaricus mushroom (unspecified),0
agaricus mushroom,0
adenosine triphosphate,0
adipic acid,0
zeaxanthin,0
yumberry,0
catalase,0
casein protein,0
cascara,0
carvacrol,0
carrot,0
carrageenan,0
carotenoids,0
carob,0
carnosine,0
carnauba wax,0
capsicum,0
caprylic acid,0
capric acid,0
capitate valerian,0
cannabidiol,0
cherry (unspecified),0
chaga,0
ceylon cinnamon,0
cetyl palmitoleate,0
cetyl oleate,0
cetyl myristoleate,0
cetyl myristate,0
cetyl laurate,0
cellulose stearic acid,0
cellulase,0
celandine,0
catuaba,0
catechin,0
citrulline malate,0
citrulline,0
cinnamon,0
chondroitin sulfate,0
chondroitin (unspecified),0
cholesterol,0
chokeberry,0
chlorophyllin,0
